time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.015611,-0.1974,-0.1743,-0.1813,0.32
0.015898,-0.1250,-0.1102,-0.4355,0.47
0.042292,-0.0665,-0.0589,-0.5524,0.56
0.056913,0.1069,0.0254,-0.3989,0.41
0.067761,0.2371,0.0605,-0.0199,0.25
0.086083,0.0930,0.0204,-0.0055,0.10
0.086542,-0.2058,-0.0636,-0.0453,0.22
0.104395,-0.3362,-0.0871,0.1224,0.37
0.105935,-0.3418,-0.1101,0.1355,0.38
0.120603,-0.2364,-0.0246,0.2481,0.34
0.135107,-0.1645,-0.0067,0.2751,0.32
0.135778,-0.0601,-0.0412,0.3263,0.33
0.148495,0.0814,0.0707,0.3733,0.39
0.155874,0.1166,0.1144,0.3768,0.41
0.166775,0.2853,0.2068,0.3366,0.49
0.180055,0.5255,0.2953,0.2286,0.64
0.186328,0.6165,0.3139,0.1438,0.71
0.196352,0.5495,0.2780,0.0619,0.62
0.206444,0.3484,0.1510,-0.0810,0.39
0.216590,0.1291,-0.0516,-0.0733,0.16
0.231751,-0.0324,-0.1870,-0.0690,0.20
0.236426,-0.1566,-0.2614,-0.0730,0.31
0.246865,-0.2593,-0.2993,-0.0859,0.41
0.256884,-0.3557,-0.2897,-0.1330,0.48
0.267120,-0.3099,-0.2190,-0.2641,0.46
0.282018,-0.1448,-0.0811,-0.2766,0.32
0.287202,0.0490,0.0052,-0.2327,0.24
0.297287,0.3223,0.1561,-0.2305,0.43
0.307425,0.3981,0.2716,-0.2280,0.53
0.317196,0.3226,0.2533,-0.1959,0.45
0.332186,0.2063,0.2050,-0.1165,0.31
0.337081,-0.0215,0.0988,-0.0724,0.12
0.349012,-0.1980,0.0040,0.0017,0.20
0.359144,-0.2992,-0.0937,0.0792,0.32
0.368986,-0.2989,-0.1005,0.1223,0.34
0.382995,-0.2106,-0.0838,0.1611,0.28
0.387983,-0.1812,-0.0679,0.2501,0.32
0.397732,-0.1929,-0.0715,0.3507,0.41
0.414837,-0.2051,-0.1106,0.3696,0.44
0.418315,-0.2177,-0.1280,0.3710,0.45
0.430836,-0.2352,-0.0910,0.2793,0.38
0.437838,-0.3735,-0.1325,0.0793,0.40
0.448376,-0.4354,-0.1331,-0.0629,0.46
0.464218,-0.4037,-0.1053,-0.1821,0.46
0.468500,-0.2822,-0.0541,-0.1468,0.32
0.481710,-0.0431,0.0269,0.0028,0.05
0.488582,0.1128,0.0547,0.0792,0.15
0.498425,0.0745,0.0936,0.0628,0.14
0.514334,0.0196,0.0872,0.0103,0.09
0.518578,-0.0122,0.0433,-0.0603,0.08
