time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.038552,0.0087,-0.0739,-0.1403,0.16
0.063938,-0.0644,-0.2025,0.2592,0.34
0.064285,0.1015,-0.1025,0.2469,0.29
0.084935,0.2928,0.0051,0.1959,0.35
0.085314,0.3928,0.0592,0.0975,0.41
0.099397,0.3756,0.0510,0.0339,0.38
0.099678,0.2173,-0.0017,-0.0941,0.24
0.119842,-0.0147,-0.0231,-0.2093,0.21
0.120224,-0.2033,0.0149,-0.2825,0.35
0.140526,-0.2274,0.0006,-0.3096,0.38
0.140827,-0.1346,-0.0109,-0.2897,0.32
0.164399,-0.0953,0.0392,-0.1790,0.21
0.164860,-0.0969,0.0391,-0.1040,0.15
0.183148,-0.1363,0.0251,-0.0903,0.17
0.183692,-0.1025,0.0964,-0.0267,0.14
0.198833,0.0149,0.1621,-0.0294,0.17
0.212244,0.1968,0.2646,-0.0359,0.33
0.212551,0.2783,0.3134,-0.0143,0.42
0.225245,0.2634,0.2716,0.0171,0.38
0.230932,0.1628,0.2041,0.0753,0.27
0.241033,0.0760,0.1517,0.0823,0.19
0.254949,0.0944,0.0929,0.1967,0.24
0.261154,0.0468,-0.0053,0.2517,0.26
0.271534,-0.0191,-0.0548,0.2555,0.26
0.281293,-0.0705,-0.1131,0.2627,0.29
0.291692,-0.0891,-0.1210,0.2522,0.29
0.305133,0.0163,-0.0934,0.2335,0.25
0.311534,0.0821,-0.0688,0.1365,0.17
0.322178,0.0906,-0.0849,-0.0448,0.13
0.331931,-0.0560,-0.0750,-0.1965,0.22
0.341491,-0.1721,-0.0864,-0.2493,0.32
0.357504,-0.1861,-0.1255,-0.2975,0.37
0.365241,-0.1371,-0.1072,-0.2520,0.31
0.378862,-0.1271,-0.0441,-0.1006,0.17
0.381655,-0.0492,-0.0006,-0.0053,0.05
0.392118,0.0304,0.0305,0.0446,0.06
0.405269,0.0412,0.0847,0.0640,0.11
0.412420,0.0365,0.1310,0.0112,0.14
0.422680,0.0277,0.1412,-0.0039,0.14
0.439891,0.0221,0.2077,0.0047,0.21
0.442638,0.0803,0.2237,-0.0504,0.24
0.455432,0.1548,0.2087,0.0077,0.26
0.462658,0.1468,0.1775,0.1065,0.25
0.472884,0.1095,0.1608,0.2062,0.28
0.489786,0.0219,0.0922,0.2043,0.23
0.492319,-0.1042,0.0197,0.2234,0.25
0.507026,-0.2168,-0.0847,0.2370,0.33
0.513434,-0.3030,-0.1500,0.2055,0.40
0.522810,-0.3072,-0.1342,0.2196,0.40
0.538382,-0.2309,-0.1236,0.1283,0.29
0.543464,-0.0960,-0.0969,0.0721,0.15
0.554524,-0.0769,-0.0711,-0.0043,0.10
0.563539,-0.1526,-0.0221,-0.1280,0.20
0.573852,-0.2088,0.0262,-0.2224,0.31
0.588842,-0.1443,0.0578,-0.3109,0.35
0.594158,0.0041,0.0963,-0.3826,0.39
0.607104,0.0757,0.1205,-0.3341,0.36
0.614145,0.0817,0.0504,-0.1744,0.20
0.623882,0.0183,-0.0442,-0.0941,0.11
0.639475,-0.1073,-0.0732,-0.0648,0.15
0.643951,-0.1681,-0.0732,0.0076,0.18
0.656054,-0.1380,-0.0449,0.1107,0.18
0.664484,-0.1056,-0.0714,0.2507,0.28
0.674534,-0.0612,-0.1074,0.3643,0.38
0.690238,0.0168,-0.1079,0.3977,0.41
0.694479,0.0577,-0.1441,0.3749,0.41
0.707114,0.0957,-0.1730,0.2648,0.33
0.714847,0.0980,-0.1684,0.1735,0.26
0.724800,0.1053,-0.1593,0.0691,0.20
0.739874,0.1014,-0.1666,-0.0703,0.21
0.745025,0.0040,-0.1807,-0.1953,0.27
0.756719,-0.1412,-0.2153,-0.2925,0.39
0.765362,-0.2542,-0.2229,-0.3650,0.50
0.775661,-0.2792,-0.1594,-0.3015,0.44
0.790445,-0.1964,-0.0896,-0.2236,0.31
0.795663,-0.0115,-0.0371,-0.0755,0.08
0.814301,0.1196,0.0075,-0.0002,0.12
0.815540,0.1636,0.0278,0.0556,0.18
0.825688,0.0305,-0.0536,0.1960,0.21
0.840251,-0.2119,-0.1834,0.2844,0.40
0.845921,-0.4058,-0.2757,0.3162,0.58
0.856754,-0.4643,-0.2747,0.2694,0.60
0.865635,-0.3831,-0.1159,0.2378,0.47
0.876144,-0.1192,0.0189,0.2444,0.27
0.890702,0.1352,0.1113,0.2151,0.28
0.896394,0.2873,0.1711,0.1524,0.37
0.906348,0.3400,0.2343,0.0867,0.42
0.916291,0.2880,0.2114,0.0239,0.36
0.926366,0.2218,0.2172,-0.0842,0.32
0.940717,0.2426,0.3409,-0.1147,0.43
0.946295,0.2740,0.4273,-0.1189,0.52
0.958817,0.2833,0.3428,-0.1188,0.46
0.966903,0.2288,0.2977,-0.1150,0.39
0.976840,0.0945,0.2418,-0.0935,0.28
0.990659,-0.0350,0.1825,-0.0062,0.19
0.996957,-0.0994,0.1667,0.0772,0.21
1.007070,-0.0698,0.1935,0.1753,0.27
1.017040,0.0217,0.1795,0.2509,0.31
1.027122,0.1632,0.1630,0.2742,0.36
1.040401,0.2442,0.1179,0.2647,0.38
1.047201,0.1604,0.0801,0.2455,0.30
1.058854,0.0312,0.0498,0.2162,0.22
1.074881,-0.1034,0.0034,0.1791,0.21
1.077524,-0.1479,-0.0140,0.1463,0.21
1.091068,-0.0262,-0.0241,0.1272,0.13
1.097641,0.0924,-0.0480,0.1351,0.17
1.107922,0.1192,-0.0598,0.0744,0.15
1.123255,0.1266,0.0228,0.0318,0.13
1.127800,0.1548,0.0401,0.0224,0.16
1.141067,0.1630,-0.0326,-0.0103,0.17
1.147917,0.1730,-0.0268,-0.0355,0.18
1.158024,0.1593,-0.0706,-0.1040,0.20
1.174258,0.1482,-0.1160,-0.1439,0.24
1.178431,0.1097,-0.1179,-0.1430,0.22
1.190861,0.0652,-0.1829,-0.1500,0.25
1.203304,-0.0066,-0.2534,-0.1552,0.30
1.212771,-0.0634,-0.2353,-0.1008,0.26
1.227403,-0.0447,-0.2763,-0.0496,0.28
1.228153,-0.0625,-0.3238,-0.0351,0.33
1.241256,-0.0790,-0.3027,-0.1587,0.35
1.248609,-0.0684,-0.2608,-0.2188,0.35
1.258452,0.0306,-0.2528,-0.2035,0.33
1.273742,0.1112,-0.1764,-0.1983,0.29
1.279083,0.1770,-0.0964,-0.1955,0.28
1.290577,0.2193,-0.0268,-0.2025,0.30
1.299330,0.2549,0.0136,-0.2329,0.35
1.309219,0.2533,0.0250,-0.1930,0.32
1.328567,0.2318,-0.0039,-0.2273,0.32
1.329640,0.1575,-0.0701,-0.2477,0.30
1.345452,0.0234,-0.1419,-0.2296,0.27
1.349534,-0.0642,-0.1510,-0.2065,0.26
1.359823,-0.1160,-0.1267,-0.1114,0.20
1.374009,-0.1311,-0.1239,-0.0313,0.18
1.379971,0.0124,-0.0576,-0.0001,0.06
1.391143,0.1737,0.0169,-0.0336,0.18
1.400087,0.2805,0.0264,-0.0254,0.28
1.410170,0.3464,0.0615,-0.0551,0.36
1.427492,0.2829,0.0442,-0.1011,0.30
1.430398,0.2121,0.0507,-0.1100,0.24
1.446291,0.1313,0.0620,-0.1275,0.19
1.450503,0.1156,0.0733,-0.1370,0.19
1.464368,0.1002,0.0752,-0.1453,0.19
1.480408,0.0898,0.0419,-0.1969,0.22
1.498295,-0.0919,-0.0466,-0.2350,0.26
1.501499,-0.2466,-0.1035,-0.1825,0.32
1.517002,-0.2972,-0.0295,-0.0672,0.31
1.533469,-0.1113,0.0906,0.1148,0.18
1.534475,0.2145,0.1827,0.2337,0.37
1.550890,0.4427,0.1904,0.2435,0.54
1.551882,0.4066,0.1974,0.2210,0.50
1.568095,0.2024,0.1636,0.0679,0.27
1.584089,-0.0603,0.1018,-0.0889,0.15
1.584612,-0.2738,0.0599,-0.1231,0.31
1.598377,-0.3839,-0.0516,-0.1250,0.41
1.601707,-0.3151,-0.0407,-0.0762,0.33
1.612664,-0.1898,0.0055,0.0212,0.19
1.627238,0.0055,0.0346,0.0774,0.08
1.632043,0.1438,0.0582,0.1007,0.18
1.641789,0.1801,0.0670,0.0964,0.21
1.658813,0.1444,0.0963,0.0511,0.18
1.662341,0.1054,0.0660,0.0269,0.13
1.674689,0.0703,0.0077,0.0107,0.07
1.682390,-0.0063,-0.0284,0.0152,0.03
1.692097,-0.1313,-0.0731,-0.0071,0.15
1.709238,-0.2811,-0.0909,-0.0465,0.30
1.712295,-0.3669,-0.0892,-0.0904,0.39
1.725056,-0.3647,-0.1037,-0.1450,0.41
1.732805,-0.3299,-0.1460,-0.1674,0.40
1.742861,-0.2794,-0.1426,-0.0920,0.33
1.758508,-0.0642,-0.0496,-0.0035,0.08
1.763008,0.2699,0.0984,0.0787,0.30
1.775781,0.5421,0.1118,0.0391,0.55
1.783181,0.4533,0.1035,0.0200,0.47
1.792806,0.2915,0.1045,-0.0996,0.33
1.809005,0.0563,0.0281,-0.1446,0.16
1.812975,-0.0688,0.0263,-0.1368,0.16
1.825766,-0.1220,-0.0057,-0.0483,0.13
1.833678,-0.1259,-0.0064,-0.0227,0.13
1.843927,-0.0502,0.0424,-0.0179,0.07
1.861171,0.0097,0.0971,-0.0138,0.10
1.863863,0.1062,0.1107,0.0132,0.15
1.876892,0.1141,0.1025,0.0581,0.16
1.884368,0.0915,0.0893,0.1488,0.20
1.902847,0.0862,0.0903,0.1659,0.21
1.910577,0.0933,0.0959,0.1269,0.18
1.914542,0.1012,0.0753,0.0884,0.15
