time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.052356,-0.2102,-0.2408,0.1729,0.36
0.083437,0.0796,0.0118,-0.0436,0.09
0.098553,-0.3170,-0.2302,-0.1804,0.43
0.109356,-0.3192,-0.1784,0.0845,0.38
0.115964,-0.1418,-0.0136,0.1456,0.20
0.130650,-0.0876,-0.1111,0.2088,0.25
0.135723,-0.0663,-0.0755,0.3178,0.33
0.146084,0.0522,-0.0175,0.2358,0.24
0.162996,0.1616,0.0556,0.1124,0.20
0.166229,0.2060,0.1317,-0.0669,0.25
0.179668,0.2359,0.1640,-0.1944,0.35
0.196778,0.2684,0.2121,-0.2893,0.45
0.197157,0.3226,0.2994,-0.3015,0.53
0.214084,0.3870,0.3006,-0.2747,0.56
0.216730,0.4032,0.2501,-0.2967,0.56
0.230030,0.2756,0.2007,-0.3623,0.50
0.246280,0.0793,0.1404,-0.3589,0.39
0.246665,-0.1085,0.0532,-0.3617,0.38
0.268208,-0.1787,0.0315,-0.4067,0.45
0.268512,-0.1221,0.1165,-0.3949,0.43
0.278915,0.0433,0.1201,-0.2298,0.26
0.294360,0.1619,0.0480,-0.0709,0.18
0.297252,0.1604,0.0426,0.1180,0.20
0.311161,0.0336,-0.0057,0.2514,0.25
0.318257,-0.1157,-0.1079,0.3115,0.35
0.328473,-0.2812,-0.1519,0.2569,0.41
0.346673,-0.4001,-0.1670,0.1456,0.46
0.348503,-0.4244,-0.1698,0.0938,0.47
0.363002,-0.3279,-0.1676,0.0722,0.38
0.368755,-0.1970,-0.1325,0.0152,0.24
0.380251,-0.1020,-0.0462,-0.0332,0.12
0.397953,0.0009,0.0147,-0.0169,0.02
0.398334,0.0700,0.0225,0.0050,0.07
0.413500,0.1371,-0.0360,0.0254,0.14
0.418747,0.0638,-0.0958,0.0661,0.13
0.429521,-0.0396,-0.1544,0.0592,0.17
0.440879,-0.1620,-0.1314,0.0122,0.21
0.450723,-0.2542,-0.0776,-0.0810,0.28
0.462429,-0.2160,-0.1349,-0.1292,0.29
0.469630,-0.1555,-0.1862,-0.1460,0.28
0.480118,-0.1500,-0.1658,-0.0239,0.22
0.498048,-0.1966,-0.2096,0.0840,0.30
