time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.013315,0.1944,-0.0419,0.1069,0.23
0.026699,-0.1493,-0.1896,0.1626,0.29
0.044550,-0.0920,-0.1559,0.1402,0.23
0.044971,-0.0134,-0.0825,0.0999,0.13
0.061471,0.0753,-0.0127,0.0670,0.10
0.078289,0.1754,0.0558,-0.0927,0.21
0.095470,0.1681,0.0408,-0.2380,0.29
0.112838,-0.0832,-0.0705,-0.2743,0.30
0.129217,-0.4319,-0.1931,-0.1234,0.49
0.145877,-0.4550,-0.1631,-0.0626,0.49
0.163168,-0.2988,-0.0962,0.0993,0.33
0.179728,-0.1240,-0.0571,0.2156,0.26
0.196030,-0.0826,-0.0192,0.2314,0.25
0.213434,-0.0624,0.0353,0.1973,0.21
0.230033,-0.2192,0.0215,0.1257,0.25
0.247188,-0.2266,0.0031,0.1136,0.25
0.264222,-0.0822,0.0845,0.1876,0.22
0.280683,-0.0973,0.1429,0.1586,0.23
0.297009,-0.1063,0.2175,0.1857,0.31
0.297464,-0.0119,0.2908,0.1960,0.35
0.313998,0.1380,0.3392,0.2350,0.44
0.314464,0.2379,0.3887,0.2670,0.53
0.330546,0.2305,0.3450,0.2685,0.49
0.347382,0.0470,0.2567,0.2185,0.34
0.368191,-0.3167,0.0818,0.2130,0.39
0.370002,-0.3797,-0.0090,0.2604,0.46
0.383262,-0.3061,0.0268,0.3137,0.44
0.401444,-0.1509,0.0473,0.2606,0.30
0.403630,-0.1170,0.0510,0.2328,0.27
0.418881,-0.1490,0.0731,0.2689,0.32
0.435551,-0.2109,0.0403,0.2622,0.34
0.435996,-0.2059,0.0973,0.2229,0.32
0.452593,-0.1942,0.1389,0.2126,0.32
0.454048,-0.2038,0.0855,0.1286,0.26
0.469685,-0.2606,0.0944,0.0387,0.28
0.485968,-0.2386,0.0985,-0.0207,0.26
0.486398,-0.2714,0.0629,-0.0675,0.29
0.501961,-0.3019,0.1061,-0.1141,0.34
0.504504,-0.3568,0.0525,-0.1328,0.38
0.519114,-0.3466,-0.0020,-0.1869,0.39
0.535390,-0.2991,0.0228,-0.1238,0.32
0.535855,-0.1728,0.0853,-0.0070,0.19
0.552561,-0.0268,0.0714,0.1818,0.20
0.554569,0.1374,0.0526,0.3505,0.38
0.569649,0.2470,0.0432,0.3464,0.43
0.586002,0.2892,-0.0229,0.3102,0.42
0.586447,0.3364,-0.0952,0.1345,0.37
0.602185,0.2897,-0.1382,0.0111,0.32
0.619075,0.1781,-0.2251,-0.0923,0.30
0.635413,0.1268,-0.3193,0.0345,0.35
0.652378,0.3097,-0.3419,0.0896,0.47
0.672704,0.2337,-0.3143,0.0056,0.39
0.689211,-0.1493,-0.3001,-0.3618,0.49
0.689658,-0.3047,-0.2774,-0.5891,0.72
0.703064,-0.3373,-0.2071,-0.7362,0.84
0.719323,-0.2143,-0.0547,-0.6114,0.65
0.719728,0.1027,0.0956,-0.3373,0.37
0.736270,0.3839,0.2035,-0.1544,0.46
0.752641,0.5827,0.3021,-0.0061,0.66
0.768579,0.6711,0.3365,-0.0545,0.75
0.768996,0.6748,0.3604,-0.1798,0.79
0.784781,0.6378,0.3336,-0.3126,0.78
0.787024,0.5158,0.2665,-0.4345,0.73
0.800966,0.3258,0.2496,-0.5484,0.68
0.817297,0.1665,0.2376,-0.5621,0.63
0.817723,0.1093,0.2258,-0.5725,0.63
0.833503,0.1312,0.2188,-0.5219,0.58
0.837141,0.2575,0.2093,-0.4978,0.60
0.850126,0.2516,0.1690,-0.4600,0.55
0.866649,0.1513,0.0700,-0.4274,0.46
0.867080,-0.0117,-0.0348,-0.4299,0.43
0.883041,-0.1979,-0.0954,-0.4618,0.51
0.887801,-0.3562,-0.1315,-0.4815,0.61
0.899420,-0.4851,-0.1691,-0.4971,0.71
0.915891,-0.5860,-0.2012,-0.6238,0.88
0.917342,-0.6014,-0.1521,-0.7644,0.98
0.932394,-0.4970,-0.0891,-0.9086,1.04
0.937982,-0.3442,-0.1257,-0.9647,1.03
0.949097,-0.2703,-0.1025,-0.9587,1.00
0.965988,-0.1885,-0.0370,-0.8706,0.89
0.970773,-0.0326,0.0156,-0.7932,0.79
0.986842,0.1173,0.0201,-0.7636,0.77
0.988225,0.1545,-0.0890,-0.7191,0.74
1.003000,-0.0135,-0.1663,-0.7816,0.80
1.019018,-0.2640,-0.2402,-0.8174,0.89
1.019424,-0.4796,-0.2752,-0.8295,1.00
1.035471,-0.5778,-0.3140,-0.8276,1.06
1.038724,-0.5825,-0.3211,-0.8683,1.09
1.052473,-0.5628,-0.3395,-0.8873,1.10
1.069172,-0.5121,-0.3408,-0.7907,1.00
1.069577,-0.4121,-0.2241,-0.7445,0.88
1.086054,-0.3000,-0.0127,-0.7374,0.80
1.089180,-0.1568,0.0444,-0.7617,0.78
1.102293,-0.0668,0.0578,-0.8553,0.86
1.118363,-0.0402,0.0943,-0.9189,0.92
1.119209,-0.1089,0.0968,-0.9316,0.94
1.134379,-0.1466,0.1202,-0.8991,0.92
1.139288,-0.1942,0.1289,-0.8996,0.93
1.151478,-0.1886,0.1208,-0.8057,0.84
1.168540,-0.0928,0.0891,-0.7252,0.74
1.170161,-0.0208,0.0177,-0.7408,0.74
1.185474,0.0049,0.0602,-0.7828,0.79
1.201389,-0.0310,0.0710,-0.8153,0.82
1.217348,-0.3781,-0.1263,-0.7835,0.88
1.233610,-0.6714,-0.1426,-0.6565,0.95
1.250714,-0.6503,-0.0949,-0.6270,0.91
1.251155,-0.5077,-0.0334,-0.5733,0.77
1.274049,-0.3342,0.0675,-0.5332,0.63
1.288334,0.0118,0.3330,-0.1582,0.37
1.305332,0.2097,0.4867,0.0808,0.54
1.305846,0.3472,0.4915,0.2528,0.65
1.321797,0.4992,0.5288,0.3211,0.79
1.337642,0.1074,0.3535,0.1514,0.40
1.353421,-0.2005,0.1964,0.0147,0.28
1.369665,-1.0652,-0.0304,0.0962,1.07
1.385866,-0.9695,0.2515,0.2801,1.04
1.402332,-0.4349,0.4256,0.4124,0.74
1.402694,0.2021,0.6302,0.5595,0.87
1.419199,0.7886,0.6832,0.8158,1.32
1.421886,1.1726,0.6924,1.0883,1.74
1.435802,1.3517,0.6936,1.2083,1.94
1.451706,1.2990,0.6031,1.1703,1.85
1.452098,1.0219,0.4068,1.0043,1.49
1.468136,0.6337,0.1318,0.8382,1.06
1.472567,0.2775,-0.0994,0.6687,0.73
1.484266,-0.0656,-0.1839,0.7017,0.73
1.501232,-0.2570,-0.2150,0.8479,0.91
1.502067,-0.2599,-0.2692,1.0621,1.13
