time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.028394,-0.0650,-0.0108,0.6859,0.69
0.048217,-0.4289,-0.4265,0.4859,0.78
0.048476,-0.2738,-0.3131,0.2457,0.48
0.059523,-0.0427,-0.2182,0.0279,0.22
0.071459,0.2472,0.0233,0.2117,0.33
0.083007,0.1144,-0.0767,-0.3239,0.35
0.099719,-0.1631,-0.2712,-0.1910,0.37
0.099956,-0.1686,-0.2592,-0.1746,0.36
0.109920,-0.2447,-0.1743,-0.3640,0.47
0.128341,-0.3949,-0.1826,-0.3106,0.53
0.130485,-0.3312,-0.1434,-0.3746,0.52
0.142638,-0.2302,-0.1516,-0.5346,0.60
0.149733,-0.1646,-0.1147,-0.3825,0.43
0.159820,-0.0767,-0.1253,-0.2646,0.30
0.176657,-0.1272,-0.2414,-0.2728,0.39
0.179799,-0.1237,-0.1689,-0.3483,0.41
0.194585,0.1150,0.0514,-0.4045,0.42
0.199960,0.2192,0.1227,-0.4520,0.52
0.210883,0.2618,0.1064,-0.3625,0.46
0.228055,0.1528,0.0979,-0.2789,0.33
0.229907,-0.0380,0.0617,-0.0898,0.12
0.243526,-0.1038,0.0899,0.0885,0.16
0.250975,-0.0251,0.1528,0.2334,0.28
0.260954,0.0973,0.1082,0.3115,0.34
0.278401,0.1833,0.0943,0.2322,0.31
0.281255,0.0997,0.0824,0.1333,0.19
0.294507,-0.0830,0.0540,0.1339,0.17
0.301554,-0.2113,-0.0235,0.2226,0.31
0.311816,-0.2665,-0.0431,0.3780,0.46
0.329165,-0.2219,-0.0039,0.4974,0.54
0.331646,-0.0762,0.0459,0.5216,0.53
0.345898,0.1325,0.2142,0.4450,0.51
0.351983,0.2926,0.3012,0.3665,0.56
0.362539,0.3802,0.2471,0.2083,0.50
0.378703,0.2291,0.1584,-0.0163,0.28
0.382252,-0.0497,0.0853,-0.2038,0.23
0.395074,-0.2667,-0.0028,-0.3389,0.43
0.405607,-0.3802,-0.0676,-0.3308,0.51
0.422103,-0.3804,-0.1025,-0.2240,0.45
0.422382,-0.3022,-0.0892,-0.1067,0.33
0.432008,-0.2074,-0.0383,0.0436,0.22
0.443039,-0.1378,-0.0261,0.1596,0.21
0.452033,-0.0926,-0.0262,0.1084,0.14
0.462919,-0.0827,-0.0079,-0.0126,0.08
0.477297,-0.1686,0.0193,-0.1183,0.21
0.482382,-0.2811,-0.0388,-0.1329,0.31
0.496256,-0.3449,-0.0980,0.0253,0.36
0.503295,-0.2833,-0.0641,0.1649,0.33
0.513476,-0.1524,-0.0517,0.2916,0.33
0.533254,-0.0774,-0.0537,0.3527,0.37
0.533657,-0.1067,-0.0441,0.3688,0.39
0.548018,-0.1117,0.0051,0.3318,0.35
0.552980,-0.1422,0.0203,0.2101,0.25
0.563339,-0.1649,0.0044,0.0783,0.18
0.578683,-0.1468,0.0002,-0.0379,0.15
0.583817,-0.2199,-0.0512,-0.2034,0.30
0.595671,-0.3997,-0.0805,-0.2493,0.48
0.603521,-0.5302,-0.0098,-0.1300,0.55
0.613349,-0.4621,0.0132,0.0870,0.47
0.629639,-0.2596,0.0202,0.2790,0.38
0.633503,-0.0672,0.0464,0.4043,0.41
0.646468,-0.0837,-0.0052,0.4553,0.46
0.653949,-0.3355,-0.0863,0.5294,0.63
0.664566,-0.5243,-0.0789,0.4913,0.72
0.679629,-0.4949,-0.0601,0.4598,0.68
0.683538,-0.2668,-0.0729,0.3983,0.48
0.694643,-0.0461,-0.0368,0.4241,0.43
0.703815,0.1031,-0.0136,0.4274,0.44
0.714063,0.1734,-0.0759,0.3772,0.42
0.728926,0.0980,-0.1323,0.3684,0.40
0.734083,0.0556,-0.0980,0.3433,0.36
0.746682,0.0409,-0.0736,0.2696,0.28
0.754043,0.0088,-0.0968,0.1943,0.22
0.764202,-0.1038,-0.1669,0.0306,0.20
0.779287,-0.2728,-0.1958,-0.1114,0.35
0.784514,-0.4246,-0.2006,-0.2254,0.52
0.795162,-0.5793,-0.2547,-0.1942,0.66
0.810720,-0.6271,-0.3054,-0.0814,0.70
0.814702,-0.6054,-0.2747,0.0807,0.67
0.828131,-0.5013,-0.1925,0.3151,0.62
0.835255,-0.2661,-0.1941,0.5795,0.67
0.844939,-0.0419,-0.1959,0.7283,0.76
0.862895,-0.0041,-0.1181,0.5760,0.59
0.865763,-0.0795,-0.0679,0.3421,0.36
0.880340,-0.1166,-0.0329,0.0106,0.12
0.886016,-0.0882,0.0368,-0.3397,0.35
0.896717,-0.0131,0.1477,-0.4949,0.52
0.912157,0.1625,0.1979,-0.4947,0.56
0.915889,0.4288,0.2261,-0.2863,0.56
0.928522,0.5407,0.2490,0.0038,0.60
0.936122,0.5524,0.3233,0.0991,0.65
0.946337,0.5321,0.3349,0.0378,0.63
0.965600,0.3813,0.1719,-0.0937,0.43
0.966607,0.2087,0.0472,-0.2408,0.32
0.982856,0.0750,0.0592,-0.1913,0.21
0.986857,-0.0395,0.0311,0.0202,0.05
0.998405,-0.1105,-0.0481,0.0885,0.15
1.023228,-0.0396,-0.0010,0.1836,0.19
1.023660,0.0515,0.0263,0.2448,0.25
1.031879,0.0993,-0.0105,0.2847,0.30
1.036681,0.0317,-0.0046,0.3253,0.33
1.046707,0.0314,0.0315,0.3003,0.30
1.061313,0.0027,0.0053,0.1519,0.15
1.067671,-0.3422,-0.1194,-0.0536,0.37
1.080650,-0.7747,-0.1521,-0.1542,0.80
1.087483,-0.8014,-0.0611,-0.1846,0.82
1.097665,-0.1647,-0.0135,-0.1271,0.21
1.113061,0.4960,0.0829,0.0493,0.51
1.117861,0.6334,0.1774,0.0794,0.66
1.130617,0.5282,0.1520,-0.0583,0.55
1.138082,0.3720,-0.0004,-0.1407,0.40
1.147958,0.1639,-0.1691,-0.1461,0.28
1.164417,-0.0169,-0.1863,-0.1180,0.22
1.168386,-0.0590,-0.1395,-0.1671,0.23
1.180306,-0.1011,-0.1781,-0.3570,0.41
1.188270,-0.2453,-0.2112,-0.5648,0.65
1.198272,-0.2950,-0.2247,-0.6330,0.73
1.213454,-0.2195,-0.2377,-0.4790,0.58
1.218873,0.0264,-0.1630,-0.1391,0.22
1.230185,0.3445,0.0094,0.2178,0.41
1.238632,0.5192,0.1456,0.3622,0.65
1.248666,0.6103,0.2131,0.3398,0.73
1.263994,0.6837,0.1919,0.1310,0.72
1.269086,0.5561,0.0412,-0.1005,0.57
1.281012,0.2341,-0.0999,-0.1190,0.28
1.289160,-0.0388,-0.2033,-0.1695,0.27
1.299451,-0.0507,-0.1918,-0.3000,0.36
1.313785,-0.0905,-0.2062,-0.4242,0.48
1.319459,-0.1359,-0.2557,-0.6188,0.68
1.330640,-0.0951,-0.2922,-0.7216,0.78
1.339341,0.0163,-0.2288,-0.6316,0.67
1.349693,0.1720,-0.2297,-0.4513,0.53
1.364350,0.2947,-0.1763,-0.3869,0.52
1.369512,0.3311,-0.1189,-0.5100,0.62
1.380509,0.1932,-0.1660,-0.6201,0.67
1.397428,0.0710,-0.1812,-0.7087,0.73
1.398954,0.0269,-0.1699,-0.7453,0.76
1.413270,-0.0328,-0.1726,-0.7479,0.77
1.420266,0.0400,-0.1089,-0.6302,0.64
1.431199,0.1471,-0.0556,-0.4344,0.46
1.448198,0.2979,-0.0221,-0.1766,0.35
1.450535,0.4861,0.0224,0.0089,0.49
1.465799,0.7339,0.1269,0.0780,0.75
1.470813,0.7666,0.1562,0.0353,0.78
1.481858,0.6370,0.1139,-0.1269,0.66
1.497963,0.4389,0.0958,-0.2767,0.53
1.500713,0.2548,0.0074,-0.3848,0.46
1.514557,0.0575,-0.0629,-0.5250,0.53
1.521100,-0.1769,-0.1107,-0.7661,0.79
1.531564,-0.4491,-0.2186,-1.0352,1.15
1.548639,-0.5594,-0.2560,-1.1409,1.30
1.564169,-0.2139,-0.1314,-0.9547,0.99
1.571292,-0.0194,-0.0118,-0.7950,0.80
1.581125,0.0599,0.0138,-0.6846,0.69
1.598527,0.0655,0.0130,-0.5904,0.59
1.609461,0.1063,0.0994,-0.5343,0.55
1.619794,0.1965,0.2103,-0.5347,0.61
1.621304,0.1739,0.2320,-0.6709,0.73
1.633523,-0.0378,0.1803,-0.8725,0.89
1.646158,-0.2407,0.0634,-1.1336,1.16
1.651958,-0.2281,0.0122,-1.2390,1.26
1.662900,-0.2720,-0.0005,-1.0710,1.10
1.672828,-0.1968,0.0010,-0.8918,0.91
1.681879,-0.0841,0.0612,-0.7145,0.72
1.699067,0.0026,0.0636,-0.4191,0.42
1.701917,0.1444,0.0986,-0.2174,0.28
1.713600,0.0684,0.0971,-0.2782,0.30
1.722022,-0.0835,0.0812,-0.4359,0.45
1.732300,-0.2144,0.0300,-0.5226,0.57
1.748512,-0.3723,-0.0276,-0.5135,0.63
1.752179,-0.6476,-0.0605,-0.5429,0.85
1.765392,-0.8399,-0.0809,-0.7091,1.10
1.772455,-0.7394,-0.0136,-0.7377,1.04
1.783102,-0.4160,0.1115,-0.5744,0.72
1.797907,-0.0335,0.2956,-0.2999,0.42
1.802484,0.3933,0.4383,-0.0701,0.59
1.823428,0.5195,0.4695,0.0573,0.70
1.823787,0.2991,0.3745,-0.1578,0.50
1.833177,-0.1161,0.2407,-0.4753,0.55
1.848146,-0.4526,0.2011,-0.7016,0.86
1.853458,-0.6147,0.1625,-0.7457,0.98
1.863279,-0.5707,0.1814,-0.6073,0.85
1.873268,-0.4626,0.1955,-0.3115,0.59
1.883096,-0.4231,0.2402,-0.0830,0.49
1.896043,-0.3159,0.3076,-0.0136,0.44
1.903327,-0.1412,0.3266,0.0197,0.36
1.913076,-0.0855,0.3404,0.0150,0.35
1.923527,-0.0430,0.3915,-0.0836,0.40
1.933751,0.0168,0.3947,0.0291,0.40
1.947726,-0.0458,0.3532,0.2265,0.42
1.954215,-0.1399,0.3339,0.3923,0.53
1.965580,-0.2997,0.2444,0.4749,0.61
1.982493,-0.5014,0.1637,0.3678,0.64
1.984421,-0.5237,0.1315,0.2076,0.58
1.999205,-0.4350,0.1447,0.0848,0.47
2.004968,-0.3537,0.1693,0.1558,0.42
2.014502,-0.3501,0.1464,0.2322,0.44
2.030600,-0.2370,0.1263,0.2236,0.35
2.034748,-0.1668,0.1416,0.3373,0.40
2.048735,-0.1064,0.1618,0.4325,0.47
2.054684,-0.0080,0.1273,0.3966,0.42
2.065731,0.0926,0.0288,0.4926,0.50
2.092560,0.1025,-0.1143,0.7000,0.72
2.093114,-0.0239,-0.3091,0.8779,0.93
2.101032,-0.2829,-0.5557,0.8435,1.05
2.107785,-0.4987,-0.8183,0.7702,1.23
2.125843,-0.6078,-0.9871,0.8039,1.41
2.126154,-0.5635,-1.1127,0.8939,1.53
2.136676,-0.3963,-1.0975,0.9960,1.53
2.147436,-0.1642,-1.0015,1.1410,1.53
2.155602,0.0097,-0.7630,1.2421,1.46
2.165964,0.1095,-0.5183,1.1970,1.31
2.180625,0.1650,-0.4655,1.0385,1.15
2.185684,0.1070,-0.3817,1.0131,1.09
2.199638,-0.1556,-0.3649,0.9118,0.99
2.205820,-0.4472,-0.4627,0.7925,1.02
2.217487,-0.6937,-0.5575,0.6406,1.10
2.232520,-0.8493,-0.5729,0.5484,1.16
2.236551,-0.6398,-0.4280,0.5939,0.97
2.249491,-0.1758,-0.1543,0.7519,0.79
2.256641,0.2894,0.0300,1.0009,1.04
2.266084,0.6510,0.1922,1.1791,1.36
2.282030,0.6365,0.2344,1.1334,1.32
2.286524,0.3471,0.2597,0.9400,1.04
2.299341,0.0158,0.2256,0.7471,0.78
2.306806,-0.2638,0.1325,0.5908,0.66
2.316709,-0.4338,-0.0171,0.5878,0.73
2.332185,-0.4501,-0.0866,0.7318,0.86
