time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.040307,0.2322,-0.0088,-0.2596,0.35
0.060408,-0.2900,-0.2139,-0.1468,0.39
0.060655,-0.1966,-0.1471,0.0524,0.25
0.073610,-0.0793,-0.0932,0.1947,0.23
0.086076,-0.0105,-0.0618,0.2662,0.27
0.096492,0.1188,-0.0031,0.1933,0.23
0.132802,0.0886,0.2336,-0.0583,0.26
0.151245,0.1047,0.1159,-0.0302,0.16
0.160191,0.2112,0.0329,0.1602,0.27
0.168462,0.0863,-0.1339,0.3131,0.35
0.178664,-0.1376,-0.2605,0.3266,0.44
0.195235,-0.4321,-0.4277,0.2511,0.66
0.198489,-0.2310,-0.1876,0.0680,0.31
0.211220,-0.0822,-0.1765,-0.1196,0.23
0.218555,-0.0272,-0.1850,-0.1199,0.22
0.231569,0.1979,0.0280,-0.3354,0.39
0.245101,0.2316,0.2257,-0.4512,0.56
0.248800,0.3320,0.3004,-0.4388,0.63
0.260511,0.4024,0.2637,-0.5313,0.72
0.268284,0.2973,0.2026,-0.5589,0.66
0.278744,0.2186,0.1999,-0.4594,0.55
0.304016,0.2358,0.1863,-0.4116,0.51
0.327900,0.1238,0.0741,-0.2743,0.31
0.328257,0.0076,-0.0224,-0.1946,0.20
0.343640,-0.1267,-0.0916,-0.0378,0.16
0.359658,0.0955,-0.0096,0.0160,0.10
0.360007,0.2487,0.0188,-0.0138,0.25
0.371197,0.2783,0.0252,-0.0563,0.29
0.381016,0.1774,0.0290,-0.1031,0.21
0.397242,-0.0408,-0.0120,-0.2112,0.22
0.401049,-0.2653,-0.0898,-0.3704,0.46
0.412523,-0.4098,-0.1213,-0.4686,0.63
0.420063,-0.5141,-0.1402,-0.3818,0.66
0.429867,-0.3626,-0.1325,-0.2259,0.45
0.445309,-0.1305,-0.0848,-0.0842,0.18
0.450499,0.0319,-0.0355,0.0454,0.07
0.461840,0.2116,0.0389,0.1110,0.24
0.470825,0.3058,0.1002,0.1697,0.36
0.481054,0.2268,0.0683,0.1590,0.29
0.500744,0.0373,0.0014,0.0688,0.08
0.502355,-0.0622,-0.0363,-0.0087,0.07
0.512744,-0.0973,-0.0644,-0.0984,0.15
0.520438,-0.1826,-0.1017,-0.1624,0.26
0.530741,-0.2608,-0.1340,-0.1494,0.33
0.544360,-0.2996,-0.1515,-0.2247,0.40
0.551038,-0.1979,-0.0837,-0.2433,0.32
0.562105,-0.0440,-0.0165,-0.1964,0.20
0.570902,-0.0329,0.0289,-0.1118,0.12
0.581960,-0.0117,0.0621,-0.0225,0.07
0.594753,-0.0976,0.0336,-0.0216,0.11
0.601602,-0.2519,-0.0225,-0.1419,0.29
0.611947,-0.3405,0.0001,-0.2210,0.41
0.629753,-0.3531,0.0437,-0.2352,0.43
0.631652,-0.3591,0.0701,-0.1917,0.41
0.648294,-0.3047,0.1384,-0.0446,0.34
0.651710,-0.2918,0.1089,0.1993,0.37
0.663347,-0.1425,0.0636,0.4650,0.49
0.679438,0.0593,0.1649,0.6626,0.69
0.682395,0.1398,0.2738,0.6636,0.73
0.695562,0.1794,0.2558,0.5557,0.64
0.702340,0.0283,0.1743,0.3737,0.41
0.712415,-0.2883,0.0446,0.1871,0.35
0.730058,-0.5463,-0.0615,0.1163,0.56
0.732447,-0.6705,-0.1539,0.1700,0.71
0.746611,-0.6781,-0.2542,0.3093,0.79
0.752564,-0.5944,-0.2965,0.4492,0.80
0.762695,-0.4466,-0.2369,0.6414,0.82
0.779757,-0.1546,-0.1646,0.8076,0.84
0.783139,0.1665,-0.0493,0.8089,0.83
0.797121,0.3062,0.0046,0.6728,0.74
0.803151,0.1862,-0.0066,0.4528,0.49
0.813707,-0.1667,-0.1286,0.2584,0.33
0.830734,-0.5345,-0.2582,0.1314,0.61
0.833855,-0.7193,-0.3102,-0.0517,0.79
0.848520,-0.7107,-0.2762,-0.2178,0.79
0.853211,-0.6720,-0.2211,-0.2128,0.74
0.863509,-0.4406,-0.1710,-0.0261,0.47
0.879067,-0.1901,-0.0485,0.2785,0.34
0.883786,-0.1429,0.0578,0.5257,0.55
0.895285,-0.1686,0.1811,0.6470,0.69
0.903968,-0.0824,0.2807,0.6802,0.74
0.916559,-0.0904,0.3456,0.5201,0.63
0.930752,-0.2017,0.3530,0.2322,0.47
0.933785,-0.2833,0.3794,0.0014,0.47
0.955475,-0.2990,0.4412,-0.1380,0.55
0.977913,0.1933,0.5842,0.2973,0.68
0.978769,0.4893,0.6342,0.6630,1.04
0.993174,0.6751,0.6547,0.8798,1.29
1.003451,0.7870,0.5846,0.9274,1.35
1.020532,0.4653,0.2290,0.3718,0.64
1.038236,0.1571,0.0051,-0.0531,0.17
1.054008,-0.1476,-0.1641,-0.1498,0.27
1.071317,-0.0466,-0.2107,0.2763,0.35
1.086044,0.0238,-0.1995,0.3511,0.40
1.086353,0.1922,-0.1654,0.5394,0.60
1.106290,0.5101,-0.0478,0.6465,0.82
1.107220,0.8715,0.1070,0.6589,1.10
1.132033,0.9654,0.1829,0.6669,1.19
1.162081,0.2033,-0.2067,0.3494,0.45
1.175957,-0.2843,-0.4032,-0.1480,0.52
1.185780,-0.1123,-0.3182,-0.1391,0.36
1.204628,0.0529,-0.2655,-0.2250,0.35
1.206179,0.2811,-0.1782,-0.2505,0.42
1.259799,0.4432,-0.0922,-0.1830,0.49
1.302265,-0.0978,-0.1694,-0.4160,0.46
1.342763,0.0747,-0.1155,0.0236,0.14
1.393853,0.1570,-0.1161,0.2934,0.35
1.428155,-0.3284,-0.2925,-0.2228,0.49
1.459933,-0.0900,-0.1427,-0.4598,0.49
1.472252,0.1488,0.0474,-0.8674,0.88
1.499745,0.3298,0.1028,-0.9797,1.04
1.499986,0.3996,0.1677,-0.8982,1.00
1.500201,0.4635,0.2820,-0.7558,0.93
1.511850,0.5245,0.3363,-0.5125,0.81
1.521147,0.4462,0.2585,-0.2466,0.57
1.538386,0.3387,0.1707,-0.0343,0.38
1.561193,-0.1073,-0.0202,0.2636,0.29
1.577067,-0.0997,0.0061,0.3303,0.35
1.593984,-0.0654,0.0175,0.3356,0.34
1.594247,0.0218,0.0917,0.4318,0.44
1.603877,0.2483,0.2700,0.4962,0.62
1.621314,0.4063,0.3523,0.5228,0.75
1.621675,0.3164,0.3026,0.3468,0.56
1.643360,0.0314,0.2129,0.1205,0.25
1.643694,-0.1010,0.0963,0.0406,0.15
1.675516,-0.0155,0.0783,0.0302,0.09
1.692191,-0.0819,-0.0860,0.1848,0.22
1.710925,-0.3189,-0.2232,-0.0919,0.40
1.711635,-0.2440,-0.1904,-0.2290,0.38
1.731449,-0.0565,-0.1177,-0.2513,0.28
1.732175,0.1799,0.0176,-0.1972,0.27
1.745486,0.3904,0.1391,-0.0329,0.42
1.759642,0.5061,0.1432,0.0940,0.53
1.761949,0.3973,0.0954,0.1298,0.43
1.775388,0.0264,-0.0270,0.0272,0.05
1.793594,-0.3251,-0.1897,-0.1541,0.41
1.795966,-0.5468,-0.2527,-0.2851,0.67
1.812104,-0.5338,-0.2580,-0.2690,0.65
1.812452,-0.2472,-0.1476,-0.1878,0.34
1.828102,0.0846,-0.0652,-0.0097,0.11
1.843092,0.3408,-0.0009,0.1317,0.37
1.844278,0.4164,0.0337,0.2340,0.48
1.861305,0.3029,-0.0035,0.1990,0.36
1.861629,0.0684,-0.0450,-0.0091,0.08
1.873957,-0.0961,-0.0245,-0.2380,0.26
1.890394,-0.0960,-0.0016,-0.3259,0.34
1.911193,-0.1463,-0.0210,-0.2687,0.31
1.924609,-0.1170,-0.0256,0.0582,0.13
1.943633,0.0471,-0.0346,0.4246,0.43
1.944726,0.1808,-0.0063,0.6958,0.72
1.974860,0.2810,0.1080,0.6637,0.73
1.989103,-0.1084,0.0237,-0.1523,0.19
2.004717,-0.1744,0.0453,-0.3575,0.40
2.005495,-0.0352,0.1210,-0.3820,0.40
2.022109,0.1654,0.1651,-0.2550,0.35
2.033166,0.2557,0.0623,-0.2411,0.36
2.048330,0.0828,-0.0191,-0.2324,0.25
2.053275,-0.1271,-0.1224,-0.1962,0.26
2.066267,-0.1535,-0.1764,-0.1081,0.26
2.073473,-0.0892,-0.1633,-0.0498,0.19
2.083275,-0.0413,-0.1106,-0.0025,0.12
2.099646,-0.0589,-0.0496,-0.0288,0.08
2.103574,-0.0115,0.0172,-0.0379,0.04
2.115835,0.1125,0.1037,-0.0565,0.16
2.123660,0.1832,0.1673,-0.1839,0.31
2.134019,0.3295,0.2202,-0.2638,0.48
2.151182,0.3507,0.2039,-0.1815,0.44
2.154100,0.1876,0.0892,-0.1365,0.25
2.169285,-0.0146,-0.0020,-0.1094,0.11
2.177619,-0.1101,-0.0371,-0.1515,0.19
2.186317,-0.1343,-0.0453,-0.1001,0.17
2.201403,-0.0765,-0.0934,0.0565,0.13
2.204310,-0.1008,-0.1597,0.0761,0.20
2.216413,-0.0527,-0.1381,-0.0171,0.15
2.224799,0.0555,-0.0961,-0.0679,0.13
2.234498,0.0561,-0.0883,-0.1267,0.16
2.249348,0.0383,-0.0432,-0.1637,0.17
2.254817,0.0495,-0.0554,-0.1133,0.14
2.267661,0.0917,-0.0836,-0.0311,0.13
2.276060,0.0376,-0.1062,0.0181,0.11
2.284955,-0.0598,-0.1020,-0.0524,0.13
2.300320,-0.1019,-0.0808,-0.0802,0.15
2.305071,-0.0830,-0.0385,-0.0008,0.09
2.315821,-0.1643,-0.0887,0.0400,0.19
2.324918,-0.2649,-0.1006,-0.0444,0.29
2.335822,-0.1678,-0.0561,-0.0247,0.18
2.350255,0.1108,0.0224,0.0201,0.11
2.355777,0.2871,0.1060,0.0322,0.31
2.367435,0.2433,0.1314,0.0349,0.28
2.383923,0.2046,0.1307,-0.0287,0.24
2.385719,0.1115,0.1329,-0.0697,0.19
2.400684,-0.0777,0.0814,-0.1052,0.15
2.405949,-0.2377,-0.0088,-0.2004,0.31
2.417188,-0.2660,-0.0146,-0.1831,0.32
2.433933,-0.3117,-0.0625,-0.1967,0.37
2.436293,-0.4268,-0.1169,-0.1586,0.47
2.450166,-0.3945,-0.1093,-0.0209,0.41
2.456575,-0.1765,-0.0363,0.1538,0.24
2.467678,0.1414,0.1009,0.2399,0.30
2.483520,0.2466,0.1882,0.2986,0.43
2.486426,0.2118,0.1818,0.2336,0.36
2.499909,0.1538,0.1356,0.0942,0.23
2.506811,-0.0008,0.0717,-0.0295,0.08
2.516838,-0.1996,-0.0379,-0.0477,0.21
2.534069,-0.3373,-0.1101,-0.0385,0.36
2.536827,-0.4130,-0.1976,-0.1294,0.48
2.559698,-0.4044,-0.1753,-0.2240,0.49
2.570172,-0.2752,-0.0993,-0.1571,0.33
2.595154,-0.1337,-0.0504,-0.0837,0.17
2.595825,-0.0083,-0.0165,-0.0023,0.02
2.609361,0.0829,0.0239,0.0960,0.13
2.609607,0.0325,0.0117,0.0462,0.06
2.620439,-0.0561,0.0139,-0.0652,0.09
2.633490,-0.1002,0.0069,-0.1366,0.17
2.650198,-0.2393,-0.0766,-0.1682,0.30
2.658249,-0.2761,-0.0885,-0.1473,0.33
2.668188,-0.2715,-0.0908,-0.0812,0.30
2.685858,-0.2211,-0.0177,0.0484,0.23
2.687939,-0.0305,0.0211,0.2380,0.24
2.702278,0.0989,0.0261,0.2461,0.27
2.708987,0.1146,0.0663,0.1592,0.21
2.721151,0.0960,0.0940,0.1974,0.24
2.736275,-0.0179,0.0554,0.2158,0.22
2.738356,-0.0807,0.0103,0.1043,0.13
2.754654,-0.0770,0.0155,0.0914,0.12
2.760845,-0.1096,0.0134,0.1244,0.17
2.774435,-0.0791,0.0231,0.1987,0.22
2.787471,-0.0618,-0.0267,0.2364,0.25
2.789249,0.0157,0.0160,0.2288,0.23
2.801128,0.2143,0.1213,0.2231,0.33
2.808986,0.2958,0.1492,0.0534,0.34
2.819211,0.1805,0.0847,-0.1641,0.26
2.834545,-0.0499,-0.0185,-0.2813,0.29
2.839549,-0.1876,-0.0889,-0.2721,0.34
2.853551,-0.2473,-0.1223,-0.2626,0.38
2.860014,-0.2469,-0.1594,-0.2001,0.36
2.869593,-0.2016,-0.1085,-0.1270,0.26
2.896106,0.0553,0.0171,0.0651,0.09
2.932269,0.5840,0.2665,0.2332,0.68
2.948821,0.3302,0.2788,0.0293,0.43
2.970763,-0.0324,0.0959,-0.2490,0.27
2.971642,0.1275,0.1401,-0.1721,0.26
2.994244,0.2155,0.1387,-0.1075,0.28
3.006917,0.2480,0.0763,0.1750,0.31
3.020689,0.4193,0.0446,0.2955,0.51
3.034587,0.3243,0.0658,0.2434,0.41
3.041682,0.2125,0.0700,0.1418,0.26
3.056094,0.0763,0.0434,-0.0495,0.10
3.062178,-0.0613,-0.0202,-0.1862,0.20
3.075349,-0.1159,-0.0354,-0.2646,0.29
3.093607,-0.0514,-0.0687,-0.2014,0.22
3.094500,0.0486,-0.0660,-0.0877,0.12
3.114748,0.0923,-0.0492,-0.0414,0.11
3.135045,0.2435,0.0347,-0.0208,0.25
3.135443,0.3133,0.1036,-0.0538,0.33
3.155942,0.4021,0.1643,-0.0588,0.44
