time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000916,-0.1829,-0.0511,-0.0135,0.190
0.005755,-0.1496,-0.1141,0.0518,0.195
0.016228,-0.1529,-0.0940,0.0867,0.199
0.029067,-0.1428,-0.0177,0.0789,0.164
0.035588,-0.0842,0.0173,0.0620,0.106
0.045260,-0.0200,0.0775,0.0314,0.086
0.055574,0.0993,0.0732,-0.0344,0.128
0.065310,0.2137,0.0809,-0.0855,0.244
0.076810,0.3072,0.0484,-0.1268,0.336
0.085200,0.3450,0.0307,-0.1728,0.387
0.096633,0.3801,0.0156,-0.1879,0.424
0.104780,0.4313,0.0080,-0.1963,0.474
0.114838,0.4020,0.0124,-0.1580,0.432
0.125220,0.3498,0.0144,-0.1257,0.372
0.134303,0.3175,0.0353,-0.0853,0.331
0.144346,0.2530,0.0348,-0.0698,0.265
0.153913,0.1872,0.0037,-0.0383,0.191
0.163877,0.1527,0.0014,-0.0380,0.157
0.174599,0.1350,0.0203,-0.0259,0.139
0.183446,0.1055,0.0341,-0.0492,0.121
0.196290,0.1187,0.0784,-0.0517,0.151
0.203625,0.1220,0.1150,-0.1002,0.195
0.213474,0.1465,0.1206,-0.0852,0.208
0.223084,0.1449,0.0602,-0.0571,0.167
0.233159,0.1271,0.0480,-0.0483,0.144
0.242739,0.0959,0.0359,-0.0369,0.109
0.252658,0.0584,-0.0067,-0.0086,0.059
0.262609,0.0074,-0.0321,0.0030,0.033
0.272592,-0.0405,-0.0171,0.0284,0.052
0.282219,-0.0548,-0.0140,0.0368,0.067
0.295710,-0.0667,-0.0111,0.0263,0.073
0.302054,-0.0645,0.0365,0.0140,0.075
0.311995,-0.0837,0.0410,-0.0404,0.102
0.321866,-0.1171,0.0783,-0.0564,0.152
0.331654,-0.1124,0.0585,-0.0936,0.158
0.342754,-0.1055,0.0533,-0.0978,0.153
0.351653,-0.1081,0.0317,-0.0837,0.140
0.361248,-0.1224,0.0035,-0.0962,0.156
0.371390,-0.1177,-0.0195,-0.0898,0.149
0.381283,-0.1365,-0.0751,-0.0458,0.162
0.390918,-0.0914,-0.0733,-0.0469,0.126
0.400802,-0.0893,-0.0598,-0.0452,0.117
0.410954,-0.0496,-0.0113,-0.0737,0.090
0.420768,-0.0410,0.0293,-0.0754,0.091
0.430665,-0.0160,0.0951,-0.1263,0.159
0.440360,0.0157,0.1198,-0.1361,0.182
0.450272,0.0353,0.0004,-0.1670,0.171
0.459902,0.0335,0.0385,-0.2094,0.215
0.470245,0.0623,0.0711,-0.2319,0.250
0.479705,0.0811,0.0445,-0.2239,0.242
0.489662,0.0711,-0.0217,-0.2190,0.231
0.499846,0.0538,-0.0327,-0.1881,0.198
0.509577,-0.0012,-0.0554,-0.1405,0.151
0.519910,-0.0552,-0.0566,-0.1135,0.138
0.529334,-0.1079,-0.0793,-0.0971,0.165
0.538877,-0.1428,-0.0805,-0.1124,0.199
0.548858,-0.2008,-0.0795,-0.1193,0.247
0.559193,-0.2601,-0.0763,-0.1161,0.295
0.569000,-0.2995,-0.0778,-0.0894,0.322
0.578627,-0.3001,-0.0604,-0.0655,0.313
0.588620,-0.2769,-0.0528,-0.0626,0.289
0.598399,-0.2677,-0.1019,-0.0608,0.293
0.614307,-0.2954,-0.1316,-0.0596,0.329
0.618347,-0.3102,-0.1963,-0.0543,0.371
0.628149,-0.3171,-0.2341,-0.0833,0.403
0.637812,-0.3420,-0.2596,-0.0472,0.432
0.648138,-0.3562,-0.2848,0.0199,0.456
0.659933,-0.3507,-0.2600,0.0416,0.439
0.667445,-0.3895,-0.2545,0.0372,0.467
0.677590,-0.4298,-0.2230,0.0385,0.486
0.687169,-0.3494,-0.1258,0.1266,0.392
0.697221,-0.2586,0.0525,0.2693,0.377
0.707399,-0.1423,0.1715,0.4579,0.509
0.716777,-0.0398,0.5451,0.4611,0.715
0.726768,0.0616,0.6672,0.4541,0.809
0.736708,0.1344,0.5519,0.3286,0.656
0.746429,0.3335,0.2859,0.1982,0.482
0.756048,0.5098,0.0462,0.1748,0.541
0.766353,0.5630,-0.1184,0.2341,0.621
0.776380,0.5095,-0.2634,0.3181,0.656
0.785861,0.4402,-0.3425,0.3393,0.653
0.796244,0.4282,-0.3662,0.3620,0.670
0.805479,0.3904,-0.3665,0.3502,0.640
0.819624,0.3839,-0.3648,0.2787,0.598
0.826201,0.4110,-0.2765,0.2094,0.538
0.835308,0.4456,-0.1381,0.1695,0.496
0.845273,0.4410,0.0709,0.1154,0.461
0.855249,0.3981,0.2058,0.0007,0.448
0.864980,0.4053,0.6047,-0.0762,0.732
0.876618,0.3288,0.7902,-0.0654,0.858
0.884801,0.2592,0.8341,-0.0282,0.874
0.894456,0.1077,0.7458,-0.0118,0.754
0.904486,-0.0043,0.5981,-0.0123,0.598
0.915717,-0.1151,0.4294,-0.0021,0.445
0.926641,-0.1848,0.2305,-0.0014,0.295
0.933923,-0.1737,-0.0404,0.0423,0.183
0.944225,-0.1603,-0.2905,0.1028,0.347
0.953587,-0.1512,-0.4848,0.1684,0.535
0.963741,-0.1672,-0.6336,0.2417,0.698
0.973598,-0.1943,-0.7048,0.2829,0.784
0.983470,-0.2561,-0.6410,0.3559,0.777
0.993309,-0.2981,-0.5266,0.4033,0.727
1.003345,-0.2736,-0.4260,0.3996,0.645
1.013848,-0.2285,-0.2709,0.3221,0.479
1.022914,-0.1937,-0.0902,0.2354,0.318
1.032993,-0.1739,0.0543,0.1179,0.217
1.043213,-0.1574,0.1683,0.0159,0.231
1.052290,-0.1181,0.2358,-0.0411,0.267
1.062923,-0.0960,0.2435,-0.0825,0.274
1.072157,-0.0367,0.2396,-0.1038,0.264
1.082194,-0.0017,0.2430,-0.1166,0.270
1.093193,0.0474,0.2158,-0.1131,0.248
1.101860,0.0797,0.1726,-0.0861,0.209
1.113558,0.0905,0.0878,-0.0597,0.139
1.121886,0.1204,0.0515,-0.0245,0.133
1.131437,0.1172,0.0277,0.0075,0.121
1.141734,0.1329,0.0113,0.0272,0.136
1.151480,0.0731,-0.0096,-0.0049,0.074
1.161070,0.0188,0.0028,-0.0264,0.033
1.170797,-0.0326,-0.0276,-0.0515,0.067
1.181093,-0.0645,-0.0693,-0.1012,0.139
1.192671,-0.0890,-0.1081,-0.1400,0.198
1.200427,-0.0992,-0.1275,-0.1608,0.228
1.212933,-0.0437,-0.1421,-0.1450,0.208
1.220273,-0.0056,-0.1447,-0.1407,0.202
1.230080,0.0156,-0.1332,-0.1055,0.171
1.243288,0.0369,-0.1077,-0.0802,0.139
1.249848,0.0255,-0.0449,-0.0673,0.085
1.259765,-0.0226,-0.0115,-0.0896,0.093
1.269679,-0.0976,0.0261,-0.1231,0.159
1.279562,-0.1973,0.0583,-0.2026,0.289
1.289205,-0.2225,0.0476,-0.2734,0.356
1.299416,-0.2380,0.0299,-0.3286,0.407
1.312959,-0.1968,-0.0110,-0.3379,0.391
1.319193,-0.1445,-0.0278,-0.3516,0.381
1.329230,-0.1189,-0.0537,-0.3556,0.379
1.338617,-0.1172,-0.0791,-0.3832,0.408
1.348635,-0.0827,-0.1394,-0.4032,0.435
1.358915,-0.0178,-0.1658,-0.4152,0.447
1.368221,-0.0289,-0.1684,-0.4283,0.461
1.378266,-0.0507,-0.1521,-0.4539,0.481
1.388215,-0.0452,-0.1363,-0.4471,0.470
1.398153,-0.0881,-0.1419,-0.4603,0.490
1.412901,-0.0965,-0.0840,-0.4771,0.494
1.419352,-0.1514,-0.0835,-0.4527,0.485
1.427677,-0.1602,-0.1067,-0.4751,0.513
1.437701,-0.1447,-0.2071,-0.5744,0.627
1.447565,-0.1636,-0.3199,-0.6315,0.727
1.459039,-0.1904,-0.3578,-0.6284,0.748
1.467000,-0.1752,-0.4468,-0.6152,0.780
1.477276,-0.1680,-0.4848,-0.6006,0.790
1.486771,-0.1637,-0.5152,-0.6686,0.860
1.496653,-0.1480,-0.5970,-0.7654,0.982
1.513468,-0.1961,-0.6798,-0.8831,1.132
1.518650,-0.1964,-0.7069,-1.0124,1.250
1.526164,-0.2418,-0.7358,-1.1001,1.345
1.536527,-0.3010,-0.8251,-1.0895,1.399
1.545929,-0.3709,-0.8583,-1.0086,1.375
1.555789,-0.4816,-0.9445,-0.9694,1.437
1.565992,-0.5626,-1.0628,-1.0058,1.568
1.575672,-0.5907,-1.2066,-1.0149,1.684
1.585337,-0.5812,-1.2947,-0.8948,1.678
1.595614,-0.5872,-1.3082,-0.7589,1.622
1.605002,-0.6542,-1.4070,-0.6161,1.670
1.615454,-0.6130,-1.2449,-0.4284,1.452
1.625592,-0.5923,-1.1379,-0.2906,1.315
1.635013,-0.5942,-1.1289,-0.1611,1.286
1.644705,-0.5513,-1.1198,-0.0667,1.250
1.654829,-0.4516,-1.0579,-0.0176,1.150
1.664394,-0.3900,-0.8385,0.0438,0.926
1.675674,-0.1737,-0.7249,-0.1196,0.755
1.684399,0.0845,-0.7791,-0.1998,0.809
1.694278,0.4668,-0.7573,-0.3630,0.961
1.704031,0.7232,-0.8148,-0.5416,1.217
1.717852,0.9049,-0.9178,-0.6719,1.454
1.725306,1.0997,-0.8180,-0.6793,1.530
1.733552,1.2438,-0.6900,-0.7075,1.589
1.743720,1.2201,-0.5387,-0.6691,1.492
1.753272,1.1296,-0.4595,-0.6791,1.396
1.763285,1.1230,-0.4428,-0.6911,1.391
1.775252,1.1355,-0.5313,-0.6691,1.421
1.782994,1.2304,-0.7582,-0.6051,1.567
1.792703,1.4267,-0.8221,-0.2477,1.665
1.802875,1.4817,-0.7335,0.0213,1.653
1.818509,1.3384,-0.8054,0.2294,1.579
1.822435,1.0688,-0.8866,0.3792,1.439
1.832572,0.7923,-1.1033,0.3198,1.395
1.842010,0.5753,-1.2448,0.1932,1.385
1.851976,0.3836,-1.1441,0.0566,1.208
1.862179,0.1560,-0.9453,-0.0589,0.960
1.871856,-0.1158,-0.7443,-0.0769,0.757
1.881641,-0.3995,-0.7301,-0.1546,0.846
1.892134,-0.4829,-0.3578,-0.2329,0.645
1.901237,-0.1816,-0.0368,-0.2354,0.300
1.912453,0.1629,-0.1516,-0.2934,0.368
