time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.115388,-0.0901,-0.1016,-0.2179,0.26
0.150491,-0.0314,0.1406,-0.0077,0.14
0.166277,0.0625,0.1798,0.6513,0.68
0.178330,-0.3246,-0.0834,0.8595,0.92
0.193564,-0.3304,-0.1588,0.9909,1.06
0.216365,-0.2038,-0.1229,0.7689,0.80
0.236170,-0.3732,-0.0753,-0.0732,0.39
0.236438,-0.3974,-0.0987,-0.1197,0.43
0.256978,-0.2432,-0.0880,-0.0407,0.26
0.257811,-0.0742,-0.0690,0.0769,0.13
0.271220,0.0846,0.0011,0.1526,0.17
0.281472,0.1404,0.0568,0.1660,0.22
0.287119,0.1449,0.0489,0.1087,0.19
0.297354,0.0528,0.0188,0.0570,0.08
0.320086,-0.0200,0.0000,0.0132,0.02
0.320368,-0.0593,0.0047,0.0219,0.06
0.331408,-0.0288,0.0255,-0.0403,0.06
0.337583,-0.0891,0.0265,-0.1696,0.19
0.347267,-0.2781,-0.0493,-0.3082,0.42
0.368072,-0.3871,-0.0762,-0.4467,0.60
0.368816,-0.3727,-0.0048,-0.4766,0.61
0.399504,-0.2334,0.0247,-0.3741,0.44
0.442905,0.1272,0.0057,-0.0503,0.14
0.458573,0.1777,0.0117,0.2301,0.29
0.468390,0.1269,0.0125,0.3055,0.33
0.483676,0.0140,-0.0671,0.1416,0.16
0.489869,-0.1398,-0.1407,0.0254,0.20
0.508065,-0.1433,-0.1046,-0.0227,0.18
0.510325,-0.1037,0.0064,-0.3316,0.35
0.523052,-0.1205,0.0165,-0.4891,0.50
0.533694,-0.1306,-0.0335,-0.4955,0.51
0.540682,-0.5133,-0.3900,0.0540,0.65
0.551214,0.4448,0.1770,-0.2259,0.53
0.565031,0.3684,0.1989,-0.4366,0.60
0.569514,0.1717,-0.0393,-0.0501,0.18
0.583915,0.1975,0.0225,-0.2076,0.29
0.589814,0.1814,0.0119,-0.2043,0.27
0.602339,0.0224,-0.0694,-0.0737,0.10
0.631228,0.1293,0.0161,-0.2256,0.26
0.645436,0.0173,-0.0139,-0.1107,0.11
0.678665,0.0217,-0.0070,-0.1277,0.13
0.690619,0.0120,0.1010,-0.5179,0.53
0.701035,-0.0675,0.1095,-0.4764,0.49
0.714184,-0.1345,0.0654,-0.2542,0.29
0.720727,-0.2457,-0.0087,0.0960,0.26
0.730431,-0.3631,-0.0422,0.4098,0.55
0.747427,-0.4259,-0.1114,0.5769,0.73
0.750949,-0.3785,-0.1912,0.5883,0.73
0.764291,-0.2027,-0.1786,0.5949,0.65
0.771204,0.0566,-0.1332,0.5309,0.55
0.781160,0.2922,-0.0661,0.3833,0.49
0.791385,0.4473,-0.0537,0.3537,0.57
0.801508,0.4317,-0.0783,0.3364,0.55
0.821592,0.1954,-0.1821,0.2206,0.35
0.822550,-0.0754,-0.2829,-0.0132,0.29
0.833983,-0.2161,-0.2514,-0.2972,0.45
0.847348,-0.2944,-0.2020,-0.5153,0.63
0.851744,-0.3274,-0.1605,-0.5110,0.63
0.864091,-0.3061,-0.1646,-0.2880,0.45
0.871825,-0.2523,-0.2146,-0.0217,0.33
0.881967,-0.1771,-0.2265,0.1907,0.35
0.891902,-0.1261,-0.2201,0.2656,0.37
0.901892,-0.1039,-0.1947,0.2192,0.31
0.916754,-0.0789,-0.1669,-0.0265,0.19
0.923122,-0.0266,-0.1511,-0.2538,0.30
0.933159,0.0564,-0.1357,-0.3761,0.40
0.949822,0.0676,-0.1645,-0.4539,0.49
0.952694,0.0369,-0.1847,-0.5305,0.56
0.965477,0.0955,-0.1447,-0.6622,0.68
0.974098,0.1124,-0.0427,-0.7987,0.81
0.982779,0.0784,0.0127,-0.9732,0.98
0.998937,0.1131,0.1091,-1.0367,1.05
1.003221,0.1582,0.1970,-0.8688,0.90
1.016343,0.0567,0.1312,-0.7135,0.73
1.023589,-0.1224,0.0185,-0.6481,0.66
1.034224,-0.2083,0.0072,-0.6473,0.68
1.049201,-0.2640,0.0358,-0.7900,0.83
1.057967,-0.2768,0.1279,-0.8289,0.88
1.066453,-0.3018,0.2266,-0.8647,0.94
1.073680,-0.2974,0.2880,-0.8530,0.95
1.084338,-0.2695,0.2729,-0.7523,0.84
1.098271,-0.2888,0.2079,-0.7313,0.81
1.103572,-0.2617,0.1383,-0.6589,0.72
1.114155,-0.2176,0.1122,-0.5923,0.64
1.123728,-0.1880,0.0972,-0.5149,0.56
1.133991,-0.0906,0.1263,-0.4717,0.50
1.149271,0.0189,0.1590,-0.4009,0.43
1.160108,0.0852,0.1264,-0.2820,0.32
1.176809,0.1200,0.0259,-0.1674,0.21
1.177610,0.1208,-0.0057,-0.1488,0.19
1.189386,0.0555,-0.0285,-0.2764,0.28
1.198397,-0.0353,-0.0664,-0.5243,0.53
1.204491,-0.1103,-0.1429,-0.6831,0.71
1.214872,-0.0971,-0.2095,-0.6248,0.67
1.224623,0.0342,-0.2332,-0.4992,0.55
1.234461,0.1507,-0.2057,-0.4866,0.55
1.247868,0.2538,-0.1844,-0.5238,0.61
1.255494,0.2665,-0.1606,-0.5416,0.62
1.267006,0.1223,-0.2008,-0.5756,0.62
1.275365,-0.0398,-0.1508,-0.5971,0.62
1.285377,-0.0819,-0.0577,-0.5143,0.52
1.299172,-0.0335,-0.0687,-0.3809,0.39
1.305374,-0.0033,-0.0856,-0.3769,0.39
1.315649,-0.0928,-0.1063,-0.4577,0.48
1.336015,-0.2776,-0.1312,-0.6976,0.76
1.336883,-0.3883,-0.1057,-0.9715,1.05
1.350028,-0.3338,-0.0658,-1.0362,1.09
1.356077,-0.1603,-0.0489,-0.8337,0.85
1.369378,0.0594,-0.0632,-0.3967,0.41
1.376651,0.2038,-0.0884,-0.0282,0.22
1.392129,0.2908,-0.1159,0.2969,0.43
1.400931,0.2608,-0.1243,0.2939,0.41
1.406761,0.1594,-0.0967,0.0415,0.19
1.416440,0.0855,-0.1019,-0.2091,0.25
1.431797,-0.0402,-0.1554,-0.4204,0.45
1.436411,-0.0753,-0.2085,-0.4893,0.54
1.449878,0.0031,-0.2230,-0.3123,0.38
1.456341,0.0314,-0.2438,0.0360,0.25
1.466852,0.0297,-0.2665,0.1997,0.33
1.482481,0.0532,-0.3075,0.1441,0.34
1.486863,0.0981,-0.3455,-0.1927,0.41
1.499911,0.2194,-0.2269,-0.5422,0.63
1.507163,0.4178,-0.0432,-0.4966,0.65
1.517123,0.5163,0.1549,-0.1217,0.55
1.534451,0.3728,0.1819,0.3109,0.52
1.537261,0.1126,0.1233,0.7480,0.77
1.561402,-0.1585,0.0787,0.9323,0.95
1.577662,-0.0975,-0.1658,0.0481,0.20
1.588066,0.0431,-0.1337,-0.1493,0.21
1.599346,0.1094,-0.0643,-0.3176,0.34
1.607946,0.0642,-0.0642,-0.4903,0.50
1.617826,-0.0223,-0.1016,-0.6625,0.67
1.633571,0.0542,-0.1222,-0.6669,0.68
1.638050,0.1506,-0.1420,-0.5816,0.62
1.651267,0.1711,-0.2064,-0.3418,0.43
1.658277,0.2652,-0.2412,-0.0635,0.36
1.668412,0.3780,-0.1927,0.2668,0.50
1.684713,0.4723,0.0438,0.5584,0.73
1.688479,0.3743,0.1668,0.7129,0.82
1.699849,-0.0008,-0.0162,0.6950,0.70
1.708814,-0.4724,-0.1955,0.5125,0.72
1.718798,-0.7951,-0.2584,0.2154,0.86
1.735384,-0.8052,-0.2556,0.0957,0.85
1.739792,-0.4985,-0.1393,0.2846,0.59
1.750623,-0.0758,-0.0320,0.6591,0.66
1.762644,0.3624,-0.0230,1.0862,1.15
1.769101,0.6294,-0.0997,1.4872,1.62
1.785308,0.7412,-0.1768,1.6601,1.83
1.790832,0.7388,-0.1483,1.5648,1.74
1.805214,0.7765,-0.1147,1.4626,1.66
1.812417,0.7138,-0.0943,1.3463,1.53
1.822362,0.4693,-0.1598,1.1324,1.24
1.838035,0.1872,-0.2456,0.9262,0.98
1.839706,0.0774,-0.3070,0.8114,0.87
1.861644,0.0511,-0.3135,0.7995,0.86
1.879854,-0.2101,-0.4933,1.2351,1.35
1.889969,-0.2765,-0.4201,1.0472,1.16
1.900121,-0.2915,-0.3634,0.7691,0.90
1.910168,-0.2255,-0.3277,0.5493,0.68
1.920113,0.0351,-0.3017,0.6290,0.70
1.936444,0.2859,-0.3046,0.8163,0.92
1.940592,0.4907,-0.3091,1.0748,1.22
1.953623,0.4716,-0.3156,1.3422,1.46
1.962062,0.2578,-0.2468,1.3437,1.39
1.971357,-0.0405,-0.2474,1.1659,1.19
1.984964,-0.2741,-0.4009,1.0984,1.20
1.991225,-0.2971,-0.5722,1.1914,1.35
2.001500,-0.1833,-0.6958,1.4730,1.64
2.020171,0.0523,-0.6429,1.6392,1.76
2.021611,0.3469,-0.4819,1.5398,1.65
2.036495,0.5862,-0.3659,1.3761,1.54
2.040939,0.6802,-0.3394,1.1937,1.42
2.052120,0.7060,-0.3361,1.1982,1.43
2.067187,0.7046,-0.3184,1.2768,1.49
2.071649,0.6381,-0.3077,1.3862,1.56
2.086829,0.5572,-0.3297,1.6003,1.73
2.091424,0.5232,-0.2789,1.7229,1.82
2.101301,0.3532,-0.1973,1.5558,1.61
2.117612,0.1110,-0.1205,1.2050,1.22
2.121839,-0.1860,-0.0762,0.8741,0.90
2.135170,-0.4146,-0.1333,0.6469,0.78
2.142378,-0.4550,-0.2418,0.7239,0.89
2.151971,-0.3103,-0.2947,0.7458,0.86
2.170328,-0.0944,-0.2759,0.7440,0.80
2.172638,0.1026,-0.2168,0.8847,0.92
2.187499,0.1911,-0.1867,1.0796,1.11
2.192910,0.1094,-0.1788,1.1793,1.20
2.208265,-0.0957,-0.2065,1.2091,1.23
2.221345,-0.1606,-0.2262,1.3467,1.37
2.222640,-0.1986,-0.2790,1.5857,1.62
2.234295,-0.2629,-0.4139,1.7217,1.79
2.242555,-0.3349,-0.5104,1.5728,1.69
2.252882,-0.1531,-0.5088,1.4193,1.52
2.267678,0.0585,-0.3995,1.2872,1.35
2.273265,0.2307,-0.3063,1.1667,1.23
2.286035,0.5047,-0.3189,1.2649,1.40
2.293879,0.7187,-0.3766,1.5005,1.71
2.305030,0.7802,-0.4223,1.7512,1.96
2.318207,0.7131,-0.4351,2.0024,2.17
2.323404,0.6688,-0.3460,2.0727,2.21
2.335804,0.4458,-0.2766,2.0758,2.14
2.370355,0.1279,-0.3076,1.9208,1.95
2.393719,-0.0829,-0.2069,1.0805,1.10
2.394128,-0.1010,-0.1665,0.8360,0.86
2.409633,-0.0313,-0.0298,1.1181,1.12
2.420090,-0.1219,0.0131,1.8534,1.86
2.424206,-0.2430,-0.0616,1.9873,2.00
2.439397,-0.2170,-0.1217,1.4782,1.50
2.444459,0.0065,-0.0838,0.5725,0.58
2.454986,0.3583,0.0225,-0.2283,0.43
2.467895,0.5946,0.1860,-0.5546,0.83
2.474960,0.8412,0.3063,0.1692,0.91
2.485378,0.7771,0.3400,1.6650,1.87
2.495528,0.4561,0.1562,2.5541,2.60
2.504786,0.2657,-0.0521,2.4849,2.50
2.519964,0.2070,-0.0932,1.9356,1.95
2.525053,0.2104,-0.0634,0.8076,0.84
2.536573,0.0892,-0.0501,-0.3383,0.35
2.545401,-0.1132,-0.0500,-1.0910,1.10
2.555874,-0.0363,0.0771,-1.3469,1.35
2.572657,0.3454,0.3453,-1.3154,1.40
2.575844,0.7206,0.4912,-1.2174,1.50
2.585834,0.8171,0.4282,-1.2824,1.58
2.601339,0.6474,0.3661,-1.6105,1.77
2.605860,0.3767,0.3462,-1.9117,1.98
2.619453,0.1816,0.2755,-2.1572,2.18
2.626094,0.1234,0.3368,-2.2636,2.29
