time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.024987,-0.7114,-1.2573,0.6350,1.58
0.046197,-0.3537,-0.7809,0.0863,0.86
0.046369,-0.2672,-0.7877,0.4763,0.96
0.057609,-0.2229,-0.7267,0.6836,1.02
0.071219,0.0740,-0.5934,0.9249,1.10
0.081493,0.0370,-0.5389,0.8491,1.01
0.097192,-0.0576,-0.4730,0.6079,0.77
0.107317,-0.1505,-0.4146,0.3287,0.55
0.112111,-0.2476,-0.3958,0.1017,0.48
0.124052,-0.2076,-0.4131,0.0322,0.46
0.141285,-0.1031,-0.4179,0.1122,0.44
0.142331,-0.0586,-0.4302,0.1791,0.47
0.157747,-0.0923,-0.4465,0.1672,0.49
0.162473,-0.1479,-0.4682,-0.0069,0.49
0.176309,-0.2244,-0.4969,-0.1565,0.57
0.195389,-0.2332,-0.4502,-0.1503,0.53
0.208682,0.0453,-0.4088,0.2181,0.47
0.223279,0.0592,-0.3917,0.6973,0.80
0.239196,-0.0771,-0.4322,0.6721,0.80
0.243173,-0.1791,-0.4123,0.5792,0.73
0.258808,-0.2054,-0.3742,0.4880,0.65
0.263671,-0.0884,-0.3943,0.4220,0.58
0.278601,-0.0411,-0.3959,0.3853,0.55
0.296615,-0.2079,-0.4220,0.1889,0.51
0.308900,-0.5165,-0.4630,-0.1309,0.71
0.322946,-0.2259,-0.4154,0.1296,0.49
0.339954,-0.1743,-0.3934,0.1413,0.45
0.342988,-0.1407,-0.3954,0.1764,0.46
0.356337,-0.1203,-0.3179,0.1946,0.39
0.363522,-0.0979,-0.2126,0.2550,0.35
0.373788,-0.0222,-0.1444,0.3595,0.39
0.391793,0.0330,-0.1116,0.3964,0.41
0.398942,0.0415,-0.0624,0.2797,0.29
0.407014,-0.0521,-0.0992,0.1273,0.17
0.413575,-0.0337,-0.1363,-0.0507,0.15
0.423822,-0.0341,-0.1094,-0.1104,0.16
0.438926,-0.1232,-0.0823,-0.2163,0.26
0.444300,-0.2756,-0.1674,-0.2661,0.42
0.456270,-0.4314,-0.2648,-0.1877,0.54
0.464512,-0.4496,-0.3288,-0.0353,0.56
0.482128,-0.3596,-0.3352,0.0932,0.50
0.490405,-0.3273,-0.3125,0.1581,0.48
0.494558,-0.3154,-0.2336,0.1390,0.42
0.513075,-0.2834,-0.1275,0.0916,0.32
0.514638,-0.2763,-0.0796,0.0071,0.29
0.525058,-0.3173,-0.1404,0.0373,0.35
0.539418,-0.3426,-0.1876,0.1612,0.42
0.544783,-0.3574,-0.1846,0.2080,0.45
0.555192,-0.3546,-0.1826,0.1574,0.43
0.564762,-0.3172,-0.1517,0.1644,0.39
0.575265,-0.2727,-0.1043,0.0840,0.30
0.590481,-0.1616,0.0028,-0.1649,0.23
0.595554,-0.1370,0.0358,-0.3436,0.37
0.607481,-0.2338,-0.0609,-0.3591,0.43
0.615257,-0.2332,-0.0985,-0.3271,0.41
0.625488,-0.2503,-0.0625,-0.1589,0.30
0.645380,-0.2896,0.0226,-0.0475,0.29
0.645672,-0.2847,0.1313,-0.0934,0.33
0.656615,-0.1695,0.1854,-0.1290,0.28
0.681335,-0.0117,0.1510,-0.1431,0.21
0.682183,0.0151,0.0631,-0.1855,0.20
0.705406,-0.0382,0.0292,-0.2793,0.28
0.716564,-0.1078,0.1231,-0.2848,0.33
0.726486,0.0440,0.1140,-0.1457,0.19
0.740109,0.1462,0.1663,-0.1007,0.24
0.746970,0.0401,0.1752,-0.1320,0.22
0.757170,-0.2530,0.1985,-0.1980,0.38
0.775174,-0.5177,0.2253,-0.2344,0.61
0.777231,-0.5290,0.2398,-0.0411,0.58
0.792947,-0.3246,0.2744,0.3662,0.56
0.797722,-0.0076,0.1963,0.7268,0.75
0.811019,0.3120,0.1280,0.7961,0.86
0.826166,0.4318,0.0986,0.4373,0.62
0.827967,0.3569,0.0353,-0.0216,0.36
0.841240,0.3221,-0.0039,-0.2462,0.41
0.848018,0.1887,-0.0640,-0.2023,0.28
0.857926,0.0161,-0.0728,-0.1519,0.17
0.876558,0.0022,-0.0498,-0.0814,0.10
0.877605,0.0111,-0.0159,0.0536,0.06
0.894362,0.0573,0.0561,0.2189,0.23
0.898368,0.0693,0.1365,0.3363,0.37
0.908949,0.0354,0.2498,0.4559,0.52
0.925448,-0.0694,0.2950,0.6320,0.70
0.929019,-0.1417,0.2176,0.6962,0.74
0.941860,-0.1511,0.1068,0.7021,0.73
0.948922,-0.1445,0.1211,0.6344,0.66
0.958615,-0.0597,0.1944,0.5275,0.57
0.976026,0.1130,0.2057,0.4480,0.51
0.978904,0.1729,0.1728,0.2449,0.35
0.992698,-0.0362,0.1283,0.3797,0.40
0.999165,-0.0116,0.1029,0.2175,0.24
1.013388,0.0811,0.0751,0.0534,0.12
1.031659,0.2341,0.1070,-0.0063,0.26
1.031996,0.0688,0.1766,-0.1660,0.25
1.044130,-0.1101,0.2540,-0.3534,0.45
1.049470,-0.1045,0.3502,-0.4666,0.59
1.059824,-0.0009,0.3716,-0.4550,0.59
1.074817,0.0629,0.3429,-0.5586,0.66
1.079437,0.1640,0.2604,-0.6504,0.72
1.093309,0.2261,0.1470,-0.7640,0.81
1.100181,0.2991,0.1304,-0.9320,0.99
1.112593,0.2779,0.0749,-1.0455,1.08
1.127991,0.2295,0.0469,-1.0585,1.08
1.130397,0.2013,0.1122,-0.8103,0.84
1.144227,0.2292,0.1683,-0.4583,0.54
1.150384,0.1932,0.1683,-0.1240,0.28
1.159911,0.0203,0.0705,0.2522,0.26
1.174706,-0.0587,0.0240,0.4009,0.41
1.180230,-0.0658,0.0084,0.2881,0.30
1.193287,0.0591,0.0303,0.1276,0.14
1.210765,0.2645,0.0462,-0.0377,0.27
1.211216,0.3568,0.0190,0.0726,0.36
1.228549,0.2306,0.0045,-0.0549,0.24
1.231476,-0.0015,-0.0153,-0.1872,0.19
1.242369,-0.0657,-0.0585,-0.1638,0.19
1.250898,-0.0049,-0.0972,-0.2137,0.23
1.261031,0.1212,-0.0453,-0.1073,0.17
1.276999,0.1143,0.0149,-0.0570,0.13
1.281532,-0.1397,-0.0241,-0.0287,0.14
1.293166,-0.4941,-0.1291,-0.0643,0.51
1.310220,-0.7621,-0.1890,-0.1652,0.80
1.311932,-0.8380,-0.1305,-0.2664,0.89
1.326555,-0.7026,0.0277,-0.4175,0.82
1.332344,-0.5330,0.1656,-0.3890,0.68
1.343180,-0.3514,0.1666,-0.2311,0.45
1.359966,-0.1562,0.0986,-0.0994,0.21
1.362047,-0.0611,0.0148,0.0062,0.06
1.377081,-0.0886,-0.0324,0.0835,0.13
1.382417,-0.2072,-0.1039,0.0999,0.25
1.407530,-0.2912,-0.1856,0.0967,0.36
1.419326,0.0079,-0.2749,0.1141,0.30
1.433868,0.2287,-0.2796,0.1974,0.41
1.442340,0.7760,-0.3000,0.3124,0.89
1.456943,0.8911,-0.2975,0.3316,1.00
1.462775,0.8060,-0.3139,0.2919,0.91
1.477289,0.5359,-0.4495,0.0530,0.70
1.483170,0.2682,-0.6207,-0.0566,0.68
1.494092,0.1234,-0.7809,-0.0532,0.79
1.512573,0.1871,-0.8537,0.1366,0.88
1.512905,0.3336,-0.8506,0.3024,0.96
1.527097,0.4399,-0.7589,0.5623,1.04
1.533441,0.5142,-0.7490,0.6155,1.10
1.543684,0.6029,-0.7543,0.6156,1.15
1.558681,0.5783,-0.8370,0.8191,1.31
1.563494,0.4305,-0.8346,1.1200,1.46
1.577857,0.1864,-0.8897,1.4249,1.69
1.583982,0.0247,-0.9407,1.6524,1.90
1.597014,0.0579,-0.7863,1.6424,1.82
1.613582,0.1961,-0.3893,1.5675,1.63
1.613901,0.0036,-0.5148,1.2560,1.36
1.627654,-0.2556,-0.8630,1.3462,1.62
1.634098,-0.2862,-0.8132,0.9556,1.29
1.644543,-0.2272,-0.6181,0.9603,1.16
1.659790,-0.1336,-0.5002,1.0893,1.21
1.664219,-0.0791,-0.4628,1.0698,1.17
1.678753,-0.0983,-0.3815,0.7588,0.85
1.684782,-0.2231,-0.4059,0.2625,0.53
1.698422,-0.3863,-0.4599,-0.2080,0.64
1.716782,-0.4117,-0.5462,-0.4156,0.80
1.717120,-0.3158,-0.5944,-0.0765,0.68
1.732736,-0.2397,-0.6577,0.7243,1.01
1.735218,-0.1032,-0.7017,1.5524,1.71
1.746861,-0.0074,-0.6338,1.9055,2.01
1.760442,0.0241,-0.5899,1.9062,2.00
1.764908,-0.2196,-0.6221,1.7632,1.88
1.777307,-0.5199,-0.6909,1.4551,1.69
1.785340,-0.7278,-0.7011,1.1356,1.52
1.796525,-0.7624,-0.6307,0.9914,1.40
1.813056,-0.5510,-0.4815,1.0052,1.24
1.816020,-0.0942,-0.2799,1.0307,1.07
1.827083,0.1306,-0.1082,0.7168,0.74
