time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.048953,-0.0884,-0.0611,-0.7181,0.73
0.090302,1.1644,-0.1752,0.3001,1.22
0.103892,0.3519,-0.4171,0.5798,0.80
0.144396,0.4229,-0.2271,0.5843,0.76
0.167924,0.6655,-0.1301,0.8760,1.11
0.168182,0.6079,-0.0974,0.8657,1.06
0.182826,0.5227,-0.1165,1.0248,1.16
0.194491,0.5183,-0.0703,0.9356,1.07
0.212696,0.5379,-0.1227,0.6683,0.87
0.213007,0.4849,-0.1497,0.3888,0.64
0.224764,0.4557,-0.1400,0.1941,0.51
0.232752,0.4714,-0.1660,0.1441,0.52
0.236555,0.4712,-0.1520,0.0198,0.50
0.249999,0.4819,-0.1030,-0.1326,0.51
0.256806,0.5867,-0.0442,-0.0702,0.59
0.266626,0.6957,0.0151,-0.0154,0.70
0.282612,0.7237,0.0284,0.1093,0.73
0.287037,0.5184,-0.0621,0.3122,0.61
0.300357,0.1188,-0.1611,0.3820,0.43
0.307228,-0.3500,-0.3846,0.6057,0.80
0.317054,-0.2075,-0.0409,0.2952,0.36
0.333472,-0.1488,-0.0871,0.5103,0.54
0.337030,-0.0586,-0.0818,0.3825,0.40
0.350064,0.1085,-0.1282,0.4428,0.47
0.360446,0.2370,-0.2356,0.2806,0.44
0.368369,0.2856,-0.2380,-0.1144,0.39
0.383816,0.2848,-0.2264,-0.4812,0.60
0.387790,0.2379,-0.1653,-0.6081,0.67
0.406175,0.2473,-0.1137,-0.3884,0.47
0.407861,0.2368,-0.0748,0.0140,0.25
0.417961,0.1604,-0.0608,0.3953,0.43
0.432392,0.0907,-0.1503,0.4496,0.48
0.438161,-0.0146,-0.1909,0.4532,0.49
0.450720,-0.0878,-0.2158,0.3106,0.39
0.458732,-0.0706,-0.1963,0.1396,0.25
0.469366,0.1624,-0.1733,0.2636,0.35
0.490204,0.2708,-0.1700,0.4090,0.52
0.490513,0.2305,-0.2542,0.3776,0.51
0.504560,0.2891,-0.3014,0.2195,0.47
0.508844,0.3831,-0.1928,-0.0561,0.43
0.518942,0.4695,-0.1070,-0.3505,0.60
0.532907,0.4959,-0.0930,-0.3618,0.62
0.538640,0.4822,-0.1021,-0.1159,0.51
0.550033,0.4288,-0.1346,0.0954,0.46
0.559764,0.3317,-0.2091,0.1502,0.42
0.580467,0.1695,-0.2003,0.1263,0.29
0.580779,0.0160,-0.1698,0.0486,0.18
0.592835,-0.0907,-0.1639,0.0429,0.19
0.600809,-0.1235,-0.1799,0.0561,0.23
0.609803,-0.1247,-0.1780,0.0361,0.22
0.619608,-0.0840,-0.1355,0.0990,0.19
0.636582,-0.0276,-0.1720,0.2220,0.28
0.639642,0.0391,-0.1551,0.1875,0.25
0.654183,0.0894,-0.1211,0.0356,0.15
0.661591,0.1218,-0.1240,-0.0995,0.20
0.681379,0.1560,-0.1472,-0.1405,0.26
0.682468,0.2432,-0.1394,-0.0583,0.29
0.697736,0.2902,-0.1351,0.0720,0.33
0.710693,0.2973,-0.1509,0.1695,0.37
0.710964,0.2746,-0.1599,0.2253,0.39
0.720302,0.2542,-0.1455,0.0846,0.30
0.733297,0.1859,-0.1070,-0.0443,0.22
0.740658,0.0970,-0.0997,-0.0981,0.17
0.750551,0.0339,-0.0742,-0.1697,0.19
0.767132,-0.0552,-0.0919,-0.2307,0.25
0.770990,-0.1424,-0.1585,-0.2505,0.33
0.784711,-0.1091,-0.1430,-0.1875,0.26
0.791160,-0.0206,-0.1509,-0.0500,0.16
