time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.022133,-0.3944,-0.3035,-0.6598,0.83
0.038159,0.2433,-0.2768,-0.0873,0.38
0.050981,0.8710,-0.0706,0.2655,0.91
0.063682,0.9584,-0.0244,0.4892,1.08
0.070423,0.8194,-0.0432,0.6763,1.06
0.089071,0.6435,0.0947,0.6533,0.92
0.096524,0.4662,0.2456,0.6381,0.83
0.100131,0.1482,0.2099,0.8190,0.86
0.112981,-0.1379,0.0693,0.9404,0.95
0.120602,-0.2517,-0.0347,0.8923,0.93
0.131802,-0.2449,0.0505,0.5763,0.63
0.149144,-0.0590,0.1573,0.2726,0.32
0.150894,0.0819,0.2191,0.0823,0.25
0.166329,0.1110,0.3018,-0.1471,0.35
0.171006,0.0629,0.3309,-0.1983,0.39
0.183343,0.0484,0.3161,-0.0976,0.33
0.197011,0.0168,0.2673,-0.0318,0.27
0.200663,0.0596,0.2419,-0.0686,0.26
0.213401,0.0382,0.2381,-0.1287,0.27
0.220926,-0.0548,0.1518,-0.1667,0.23
0.231288,0.0123,0.0627,-0.0226,0.07
0.247190,0.2159,0.1275,0.1191,0.28
0.251651,0.4637,0.2308,0.2683,0.58
0.269305,0.6664,0.3043,0.4155,0.84
0.271591,0.7624,0.3737,0.6120,1.05
0.281873,0.6423,0.4001,0.5319,0.92
0.300041,0.2732,0.3846,0.3512,0.59
0.301759,-0.1825,0.4093,0.0860,0.46
0.316093,-0.6196,0.2722,-0.2130,0.71
0.322251,-0.7975,0.0688,-0.3966,0.89
0.333769,-0.5944,0.0189,-0.4900,0.77
0.347952,-0.0962,0.1085,-0.4191,0.44
0.352602,0.4168,0.1743,-0.2735,0.53
0.364310,0.8012,0.2478,-0.0946,0.84
0.373009,1.0673,0.3343,0.1075,1.12
0.382628,1.0534,0.3184,0.2804,1.14
0.397831,0.7893,0.1900,0.3394,0.88
0.403603,0.4124,0.0580,0.1617,0.45
0.418136,0.0308,-0.0762,-0.2181,0.23
0.423545,-0.1837,-0.2367,-0.4409,0.53
0.433429,-0.0908,-0.2219,-0.3628,0.43
0.447922,0.1685,-0.1948,-0.2762,0.38
0.453473,0.4284,-0.0688,-0.4354,0.61
0.464311,0.6612,0.0973,-0.5869,0.89
0.473430,0.7168,0.1828,-0.6821,1.01
0.493878,0.5492,0.1714,-0.7656,0.96
0.507204,0.2095,0.1059,-0.5952,0.64
0.516965,0.1834,0.1091,-0.5227,0.56
0.534072,0.2391,-0.0911,-0.0812,0.27
0.547698,0.4818,-0.0564,0.0565,0.49
0.553951,0.6679,0.0221,0.0228,0.67
0.564050,0.7050,0.0508,-0.0431,0.71
0.574682,0.6470,0.0297,-0.1271,0.66
0.584126,0.4444,-0.0423,-0.1957,0.49
0.597966,0.1706,-0.1525,-0.3623,0.43
0.604221,-0.0515,-0.1703,-0.3896,0.43
0.614981,-0.1017,-0.1088,-0.3881,0.42
0.632315,0.0161,-0.0525,-0.2924,0.30
0.634631,0.1518,0.0181,-0.2076,0.26
0.648630,0.2198,0.0974,-0.1923,0.31
0.654793,0.2046,0.1308,-0.2597,0.36
0.665348,0.1646,0.0913,-0.3989,0.44
0.682230,0.1677,0.0591,-0.5334,0.56
0.685199,0.1923,0.0752,-0.5786,0.61
0.699093,0.2126,0.0615,-0.5830,0.62
0.705021,0.1754,0.0602,-0.6370,0.66
0.715060,0.1122,0.0664,-0.6807,0.69
0.725013,-0.0263,0.0731,-0.6061,0.61
0.735509,-0.1845,0.0497,-0.5799,0.61
0.747598,-0.2867,-0.0277,-0.5331,0.61
0.756180,-0.3411,-0.0788,-0.4399,0.56
