time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.031196,-0.3054,-0.2282,-0.5702,0.69
0.047726,0.0710,0.2602,-0.3685,0.46
0.061552,0.1202,0.1915,-0.1717,0.28
0.065788,-0.0826,-0.0602,0.1683,0.20
0.076908,-0.3635,-0.2026,0.3595,0.55
0.092854,-0.5422,-0.2056,0.4163,0.71
0.096897,-0.6450,-0.2211,0.3781,0.78
0.109614,-0.6014,-0.1208,0.3026,0.68
0.116544,-0.3387,0.0189,0.2443,0.42
0.127985,-0.1811,-0.0143,0.1674,0.25
0.143922,-0.0897,-0.0445,0.1551,0.18
0.146999,0.0247,-0.0036,0.2324,0.23
0.161058,0.0488,0.0496,0.3109,0.32
0.167342,0.0203,0.1216,0.3060,0.33
0.189436,0.0893,0.2000,0.3725,0.43
0.189763,0.1758,0.1911,0.5416,0.60
0.201467,0.0976,0.1263,0.5638,0.59
0.209130,-0.0884,0.0652,0.3962,0.41
0.217884,-0.2137,-0.0027,0.3131,0.38
0.228267,-0.2733,-0.0264,0.1933,0.34
0.244312,-0.2497,-0.0672,0.0237,0.26
0.248065,-0.1661,-0.0818,0.0295,0.19
0.260618,-0.1119,-0.0801,0.0520,0.15
0.268162,-0.1284,-0.0752,0.0791,0.17
0.278310,-0.2394,-0.0795,0.0304,0.25
0.293345,-0.3349,-0.0799,-0.1588,0.38
0.298532,-0.4026,-0.0747,-0.3585,0.54
0.311092,-0.4178,-0.1270,-0.4694,0.64
0.318657,-0.2693,-0.0854,-0.3896,0.48
0.328832,-0.0586,-0.0592,-0.1246,0.15
0.342834,0.0044,-0.1496,0.2114,0.26
0.348616,-0.0726,-0.2039,0.2422,0.32
0.373511,-0.1563,-0.1644,0.1449,0.27
0.390356,-0.4905,-0.1752,-0.3071,0.60
0.399389,-0.5730,-0.2065,-0.2955,0.68
0.410534,-0.6120,-0.2230,-0.1854,0.68
0.419345,-0.5525,-0.2708,0.0289,0.62
0.430138,-0.4169,-0.2837,0.2868,0.58
0.445233,-0.2308,-0.2160,0.4841,0.58
0.449797,-0.0273,-0.1161,0.5084,0.52
0.460164,0.2228,-0.0465,0.5369,0.58
0.469648,0.3697,-0.0189,0.4584,0.59
0.479728,0.4049,0.0019,0.2441,0.47
0.494826,0.3816,0.0604,0.1037,0.40
0.499747,0.3731,0.0556,-0.0347,0.38
0.510151,0.2279,-0.0346,-0.1188,0.26
0.519886,0.0149,-0.1221,-0.1164,0.17
0.530047,-0.1622,-0.1869,-0.2054,0.32
0.543444,-0.3264,-0.1987,-0.3841,0.54
0.550129,-0.2245,-0.1566,-0.4817,0.55
0.560559,-0.0303,-0.0371,-0.5868,0.59
0.570440,0.1733,0.0347,-0.8292,0.85
0.580803,0.3444,0.1287,-0.9523,1.02
0.596398,0.4041,0.1448,-0.9816,1.07
0.601030,0.2615,0.0217,-1.0979,1.13
0.611792,-0.0096,-0.1226,-1.2098,1.22
0.620899,-0.2663,-0.2350,-1.3003,1.35
0.630953,-0.4375,-0.2721,-1.3269,1.42
0.647046,-0.5849,-0.3167,-1.2692,1.43
0.650726,-0.7226,-0.4080,-0.9537,1.26
0.661500,-0.6520,-0.3969,-0.4828,0.90
0.677359,-0.4592,-0.2687,0.0540,0.53
0.681214,-0.0791,-0.1476,0.8446,0.86
0.695141,0.5010,-0.0629,1.6293,1.71
0.701359,1.1624,0.0236,2.1784,2.47
0.711569,1.6177,0.1164,2.4615,2.95
0.729512,1.8078,0.1834,2.2646,2.90
0.731438,1.6681,0.2312,1.6376,2.35
0.745182,1.3327,0.2731,1.0342,1.71
0.751706,1.0335,0.3327,0.3999,1.16
0.761921,0.7606,0.3608,-0.0762,0.85
0.779251,0.6743,0.4247,-0.3807,0.88
0.782777,0.6784,0.5315,-0.6482,1.08
0.795508,0.7102,0.6187,-0.8912,1.30
0.802257,0.9665,0.7161,-0.9744,1.55
0.812054,1.4418,0.8418,-1.0084,1.95
0.828340,1.8819,0.8757,-0.8856,2.26
0.832526,2.1970,0.7469,-0.5891,2.39
0.845513,2.2764,0.6202,-0.3457,2.38
0.853289,2.2547,0.5951,-0.1235,2.34
0.863047,2.1112,0.5957,0.0927,2.20
0.880105,1.7147,0.5185,0.1644,1.80
0.883187,1.2146,0.3772,0.1874,1.29
0.895589,0.6530,0.2589,0.0820,0.71
0.903518,0.0398,0.1271,-0.1500,0.20
0.913643,-0.3924,-0.0031,-0.3342,0.52
0.941433,-0.5447,-0.1323,-0.3399,0.66
0.954035,0.1202,-0.1247,0.3364,0.38
0.963301,0.3524,-0.0646,0.3710,0.52
0.977084,0.3961,-0.0182,0.1590,0.43
0.984169,0.4980,-0.0133,-0.1071,0.51
0.993921,0.5114,-0.0512,-0.3548,0.62
1.004070,0.4478,-0.0886,-0.8304,0.95
1.014038,0.4193,-0.0828,-1.3734,1.44
1.028810,0.4447,0.0160,-1.7402,1.80
1.033892,0.5280,0.1588,-2.0011,2.08
1.045621,0.5571,0.2550,-2.1811,2.27
1.054588,0.6575,0.2829,-2.1972,2.31
1.064599,0.8183,0.3214,-1.9113,2.10
1.080370,0.8198,0.3003,-1.5079,1.74
1.084744,0.7079,0.1924,-1.0684,1.30
1.098074,0.5783,0.1582,-0.7449,0.96
1.105202,0.4940,0.2363,-0.4048,0.68
1.117265,0.5597,0.4188,-0.0957,0.71
1.130294,0.5927,0.5960,0.1895,0.86
1.134770,0.5968,0.6634,0.2763,0.93
1.144992,0.5986,0.7000,0.2775,0.96
1.155274,0.5607,0.7926,0.1884,0.99
1.165295,0.4766,0.8766,-0.1128,1.00
1.180326,0.4862,0.9440,-0.3749,1.13
1.185816,0.5928,0.9747,-0.4526,1.23
1.197185,0.8230,0.9669,-0.4904,1.36
1.205455,0.9579,0.9791,-0.4982,1.46
1.215779,0.9053,0.9395,-0.4235,1.37
1.230168,0.7632,0.8805,-0.1564,1.18
1.235821,0.5670,0.8218,0.1818,1.01
1.246285,0.4880,0.7693,0.7809,1.20
1.255911,0.4240,0.7155,1.4139,1.64
1.266088,0.3585,0.7400,1.7939,1.97
1.279946,0.2572,0.8358,1.9404,2.13
1.286144,0.0150,0.7897,1.9509,2.10
1.296581,-0.4350,0.5732,1.6590,1.81
1.312859,-0.8019,0.3101,1.2479,1.52
1.316411,-0.7092,0.1991,1.2774,1.47
1.329623,-0.4222,0.0789,1.8384,1.89
1.336698,-0.2159,-0.1474,2.6848,2.70
1.347066,-0.1308,-0.4089,3.4081,3.44
1.363341,-0.1543,-0.6534,3.9730,4.03
1.366653,-0.1891,-0.8357,4.2983,4.38
1.379498,-0.3032,-0.9859,4.3673,4.49
1.387421,-0.5977,-1.1672,4.1993,4.40
1.397549,-1.0335,-1.3890,3.8248,4.20
1.423303,-1.4231,-1.6205,3.4017,4.03
1.437245,-1.7451,-2.0683,2.4018,3.62
1.447347,-1.6515,-2.0021,2.1723,3.38
1.461809,-1.4261,-1.8135,2.1291,3.14
1.467632,-1.0866,-1.5859,2.1523,2.89
1.479047,-0.8483,-1.3489,2.1839,2.70
1.487628,-0.7715,-1.1686,2.0247,2.46
1.497775,-0.8917,-1.0315,1.5335,2.05
1.512795,-1.1171,-0.9035,0.8039,1.65
1.517522,-1.3196,-0.7977,-0.0557,1.54
1.529773,-1.4108,-0.7555,-0.8654,1.82
1.538569,-1.3400,-0.6926,-1.5008,2.13
1.548765,-1.2033,-0.6218,-1.9239,2.35
1.563554,-0.9887,-0.5846,-2.2166,2.50
1.568725,-0.7260,-0.5926,-2.4009,2.58
1.580373,-0.4511,-0.6219,-2.4939,2.61
1.589250,-0.3095,-0.6940,-2.6610,2.77
1.598798,-0.2125,-0.7552,-2.8447,2.95
1.613318,-0.0590,-0.7709,-3.0019,3.10
1.618821,0.0899,-0.7081,-3.0203,3.10
1.630465,0.2156,-0.7045,-2.7089,2.81
1.639330,0.3885,-0.7472,-2.1880,2.34
1.649930,0.5436,-0.7315,-1.6944,1.92
1.664471,0.6160,-0.6721,-1.3667,1.64
1.669660,0.6119,-0.5971,-1.3741,1.62
1.680080,0.5084,-0.5426,-1.6584,1.82
1.689633,0.4451,-0.4346,-1.9631,2.06
1.699495,0.4363,-0.2493,-2.0635,2.12
1.713497,0.4042,-0.2302,-2.1156,2.17
1.719606,0.2929,-0.3114,-2.2869,2.33
1.730497,0.2684,-0.2691,-2.5488,2.58
1.740321,0.3680,-0.0800,-2.8246,2.85
1.750761,0.5038,0.1384,-3.0523,3.10
1.766335,0.6310,0.2379,-3.0189,3.09
1.770352,0.5810,0.2348,-2.7751,2.85
1.781157,0.3669,0.2594,-2.6439,2.68
1.796731,0.2789,0.4071,-2.0990,2.16
1.800531,0.1987,0.6294,-1.1199,1.30
1.813243,-0.0730,0.6864,-0.2839,0.75
1.820926,-0.5978,0.6962,0.0002,0.92
1.832274,-1.0424,0.8306,-0.0606,1.33
1.850421,-1.3869,0.9287,-0.1760,1.68
1.850808,-1.5423,0.9187,-0.0326,1.80
1.865168,-1.5627,0.7298,0.1373,1.73
1.875888,-1.3441,0.5431,0.4695,1.52
1.884427,-0.7656,0.5863,0.6642,1.17
1.896172,-0.1455,0.7436,0.5565,0.94
1.900970,0.2735,0.9133,0.1851,0.97
1.913710,0.4457,0.9116,-0.0977,1.02
1.921412,0.4856,0.8855,-0.0743,1.01
1.931724,0.2953,0.8190,0.0232,0.87
1.942792,0.0362,0.6543,0.1397,0.67
1.951608,-0.0597,0.6234,0.3040,0.70
1.969431,0.0414,0.7511,0.3559,0.83
1.971409,0.2333,0.8894,0.3863,1.00
1.984421,0.4287,0.9841,0.3738,1.14
1.997081,0.6935,1.0587,0.4735,1.35
2.001967,0.9039,1.1141,0.5462,1.54
2.013106,1.0524,1.1540,0.5346,1.65
2.022574,1.0832,1.1785,0.6757,1.74
2.032340,0.9404,1.0235,0.9907,1.71
2.049333,0.6394,0.6997,1.2883,1.60
2.052449,0.2787,0.3798,1.5236,1.59
2.066798,0.1415,0.2199,1.7327,1.75
2.072479,0.0231,0.1587,1.9465,1.95
2.082358,-0.2167,-0.0098,1.9713,1.98
2.099346,-0.4227,-0.2201,1.9553,2.01
2.103036,-0.4866,-0.4508,2.1254,2.23
2.114664,-0.5644,-0.7150,2.2085,2.39
2.123264,-0.5149,-0.9341,2.3985,2.62
2.133211,-0.3187,-1.0067,2.6521,2.85
2.149306,-0.2254,-1.0993,2.4462,2.69
2.153846,-0.1985,-1.2523,1.9376,2.32
2.167556,-0.0217,-1.1469,1.4502,1.85
2.173806,0.2910,-0.9058,1.1589,1.50
2.183705,0.6266,-0.6136,1.3072,1.57
2.198147,0.8717,-0.4186,1.6523,1.91
2.203535,0.9230,-0.3473,1.8944,2.14
2.215561,0.9281,-0.3908,2.0712,2.30
2.224344,0.8219,-0.5740,2.1223,2.35
2.234388,0.7069,-0.8038,2.0071,2.27
2.248459,0.6860,-0.9937,1.9506,2.29
2.254001,0.7192,-1.0431,1.8141,2.21
2.264953,0.8005,-0.9981,1.4503,1.93
2.274363,1.0025,-0.8770,1.2186,1.81
2.284454,1.2503,-0.6297,0.9585,1.70
2.299866,1.4877,-0.5243,0.5601,1.67
2.304659,1.6910,-0.4039,0.1312,1.74
2.321786,1.8263,-0.3099,-0.2611,1.87
2.324150,1.7438,-0.3571,-0.7148,1.92
2.338218,1.5403,-0.4412,-1.1864,1.99
2.350037,1.2950,-0.4613,-1.5033,2.04
2.354464,1.0592,-0.4482,-1.6082,1.98
2.364305,0.7715,-0.4192,-1.5613,1.79
2.374583,0.5823,-0.3197,-1.3608,1.51
2.384935,0.4476,-0.2491,-1.1794,1.29
2.399863,0.3229,-0.1917,-0.9815,1.05
2.405508,0.2639,-0.0883,-0.8105,0.86
2.419216,0.1839,-0.0311,-0.7551,0.78
2.425067,-0.0112,-0.0083,-0.7818,0.78
2.435260,-0.3064,0.0302,-1.0650,1.11
2.449553,-0.5924,0.0262,-1.4177,1.54
2.455361,-0.8390,0.0230,-1.8107,2.00
2.465693,-0.9835,-0.0010,-2.1337,2.35
2.481107,-1.0712,-0.0290,-2.2601,2.50
2.485793,-1.3397,-0.1861,-2.0616,2.47
2.499519,-1.8005,-0.5480,-1.6854,2.53
2.506114,-2.2747,-0.9181,-1.4307,2.84
2.517462,-2.6038,-1.2253,-1.4661,3.23
2.533345,-2.4172,-1.3726,-1.4362,3.13
2.535902,-1.7145,-1.1584,-1.1207,2.35
2.549013,-0.6919,-0.7434,-0.9695,1.40
2.556573,0.4152,-0.3140,-1.0016,1.13
2.566325,1.4933,0.0681,-1.1281,1.87
2.582137,2.3731,0.3839,-1.4444,2.80
2.586682,2.9682,0.6416,-1.7683,3.51
2.599829,3.2171,0.9302,-2.2960,4.06
2.606569,3.0485,1.1731,-2.9747,4.42
2.617129,2.6889,1.3090,-3.5062,4.61
2.633625,2.3596,1.4254,-3.7812,4.68
2.649271,1.4406,1.4099,-4.0313,4.51
2.657453,1.0326,1.3589,-4.0451,4.39
2.667239,0.7891,1.3199,-3.8567,4.15
2.681882,0.6549,1.2654,-3.3849,3.67
2.687294,0.6098,1.2146,-2.7544,3.07
2.700300,0.7092,1.1818,-1.9224,2.37
2.707839,0.8661,1.2088,-1.1351,1.87
2.718001,1.0026,1.0947,-0.2582,1.51
2.734901,1.0179,0.9202,0.6844,1.53
2.738038,1.0091,0.8245,1.6828,2.13
2.750135,1.0129,0.8933,2.6933,3.01
2.763731,1.0251,1.1909,3.3786,3.73
2.775583,0.8806,1.7301,3.9544,4.41
2.785014,0.3937,1.9947,4.3733,4.82
2.788156,-0.3869,1.8105,4.4085,4.78
2.798823,-1.1307,1.3627,4.1663,4.53
2.808764,-1.4110,0.9924,3.9816,4.34
2.818768,-1.2810,0.8444,3.8443,4.14
2.833692,-0.9882,0.6952,3.9144,4.10
2.839093,-0.6435,0.4243,4.1863,4.26
2.852084,-0.2176,0.1014,4.5593,4.57
2.859182,0.1670,-0.1745,5.0384,5.04
2.868951,0.1833,-0.3723,5.1939,5.21
2.884072,-0.0510,-0.6924,4.8359,4.89
2.888827,-0.4045,-1.0487,4.4202,4.56
2.900130,-0.7277,-1.2883,3.8347,4.11
2.909428,-1.0093,-1.3525,3.0154,3.46
2.919916,-1.3841,-1.4518,2.1683,2.95
2.935326,-1.7312,-1.8199,1.4390,2.89
2.939980,-1.9658,-2.2989,0.8597,3.14
2.950722,-2.0174,-2.7240,0.3650,3.41
2.959723,-1.7961,-2.9865,0.1596,3.49
2.969735,-1.5040,-3.2150,0.4554,3.58
2.982377,-1.1333,-3.1479,0.9790,3.49
2.989820,-0.7955,-2.9126,1.4675,3.36
2.999859,-0.6608,-2.7479,2.0119,3.47
3.010189,-0.5910,-2.6055,2.3782,3.58
3.020190,-0.5877,-2.3367,2.2350,3.29
3.034255,-0.6094,-1.8876,1.6385,2.57
3.040447,-0.6558,-1.4804,0.7453,1.78
3.049977,-0.6714,-1.1916,-0.1334,1.37
3.066740,-0.5264,-0.9579,-0.8088,1.36
3.070675,-0.2691,-0.6953,-1.0878,1.32
3.084767,-0.1065,-0.5351,-1.2845,1.40
3.090698,-0.0856,-0.5318,-1.6234,1.71
3.109249,-0.1231,-0.5347,-2.0827,2.15
3.126578,-0.2435,-0.4291,-2.6096,2.66
