time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000691,-0.0835,-0.0130,-0.0726,0.111
0.006955,-0.0844,-0.0363,-0.0177,0.094
0.016827,-0.0995,-0.0382,0.0149,0.108
0.028854,-0.0156,0.0116,0.0425,0.047
0.036496,0.0434,0.0513,0.0121,0.068
0.046367,0.0519,0.0482,-0.0310,0.077
0.056595,0.0673,0.0523,-0.0604,0.104
0.066159,0.0776,0.0376,-0.0945,0.128
0.075774,0.0642,0.0255,-0.0789,0.105
0.086193,0.0582,0.0065,-0.0635,0.086
0.095986,0.0380,0.0208,-0.0318,0.054
0.105561,0.0627,0.0466,-0.0168,0.080
0.115651,0.0184,0.0485,-0.0046,0.052
0.125242,0.0172,0.0221,-0.0044,0.028
0.135088,0.0299,-0.0274,0.0451,0.061
0.145595,0.0047,-0.0431,0.0328,0.054
0.154895,-0.0154,-0.0539,0.0327,0.065
0.164985,-0.0329,-0.0528,0.0187,0.065
0.175470,-0.0640,-0.0493,0.0428,0.091
0.184596,-0.0732,-0.0130,0.0385,0.084
0.195561,-0.0868,-0.0150,0.0390,0.096
0.204751,-0.0906,-0.0051,0.0111,0.091
0.214110,-0.1012,0.0164,0.0047,0.103
0.224237,-0.0785,0.0116,0.0028,0.079
0.234090,-0.0796,0.0376,0.0028,0.088
0.244407,-0.0948,0.0514,0.0025,0.108
0.253586,-0.0909,0.0415,0.0163,0.101
0.263814,-0.0823,0.0411,0.0017,0.092
0.273435,-0.0481,0.0337,-0.0173,0.061
0.283244,-0.0427,0.0075,-0.0289,0.052
0.296205,-0.0280,0.0030,-0.0286,0.040
0.303196,-0.0325,0.0104,-0.0237,0.042
0.312828,-0.0345,0.0152,-0.0542,0.066
0.323318,-0.0484,0.0177,-0.0417,0.066
0.332548,-0.0597,0.0130,-0.0645,0.089
0.342588,-0.0614,-0.0082,-0.0490,0.079
0.353144,-0.0467,-0.0243,-0.0406,0.066
0.362293,-0.0721,-0.0260,-0.0273,0.081
0.371891,-0.0640,-0.0396,-0.0114,0.076
0.382231,-0.0489,-0.0294,-0.0141,0.059
0.391703,-0.0292,-0.0195,-0.0023,0.035
0.401809,-0.0285,-0.0239,-0.0138,0.040
0.411813,-0.0230,0.0023,-0.0554,0.060
0.421428,-0.0247,0.0116,-0.0891,0.093
0.431276,0.0019,0.0207,-0.1244,0.126
0.441452,-0.0026,0.0320,-0.1424,0.146
0.451084,0.0120,0.0265,-0.1529,0.156
0.460938,0.0146,0.0283,-0.1419,0.145
0.472065,-0.0110,0.0323,-0.1048,0.110
0.480744,-0.0126,0.0362,-0.1081,0.115
0.491354,-0.0117,-0.0072,-0.1037,0.105
0.501021,-0.0530,-0.0286,-0.1035,0.120
0.510730,-0.0321,-0.0710,-0.0913,0.120
0.520244,-0.0041,-0.0915,-0.0837,0.124
0.530262,0.0100,-0.0977,-0.0776,0.125
0.539800,0.0008,-0.0591,-0.0589,0.083
0.549792,-0.0058,-0.0425,-0.0725,0.084
0.561901,-0.0219,-0.0238,-0.1166,0.121
0.569510,-0.0265,-0.0313,-0.1413,0.147
0.580115,-0.0531,-0.0386,-0.1467,0.161
0.589408,-0.0800,-0.0694,-0.1206,0.161
0.599199,-0.0576,-0.1116,-0.0982,0.159
0.611980,-0.0618,-0.1415,-0.0933,0.180
0.619117,-0.0260,-0.0817,-0.0962,0.129
0.628620,-0.0473,-0.0630,-0.0740,0.108
0.638568,-0.0162,-0.0682,-0.0842,0.110
0.649023,0.0193,-0.0310,-0.1078,0.114
0.658456,0.0265,-0.0463,-0.1002,0.114
0.668187,0.0507,-0.0024,-0.0950,0.108
0.678388,0.0397,0.0478,-0.0828,0.104
0.687735,0.0408,0.0854,-0.0753,0.121
0.698003,0.0421,0.1013,-0.0565,0.123
0.707843,0.0149,0.1005,-0.0715,0.124
0.717602,-0.0190,0.0810,-0.0166,0.085
0.727342,-0.0665,0.0148,-0.0085,0.069
0.737649,-0.0868,0.0040,0.0197,0.089
0.747139,-0.0778,-0.0277,0.0235,0.086
0.757038,-0.1172,-0.0237,0.0387,0.126
0.767102,-0.1548,-0.0008,0.0676,0.169
0.776934,-0.2027,0.0475,0.1127,0.237
0.786588,-0.2870,0.0668,0.1195,0.318
0.798760,-0.3531,0.0881,0.1073,0.379
0.806415,-0.3945,0.1021,0.0926,0.418
0.816317,-0.3832,0.1253,0.1059,0.417
0.826831,-0.3344,0.1058,0.1135,0.369
0.836022,-0.2346,0.0256,0.1365,0.273
0.845854,-0.1054,-0.1074,0.1224,0.194
0.855960,-0.0935,-0.1604,0.1876,0.264
0.865534,-0.0277,-0.2054,0.1126,0.236
0.879209,0.0209,-0.2144,0.0965,0.236
0.885784,0.0055,-0.1574,0.0469,0.164
0.897187,-0.0262,-0.0804,-0.0117,0.085
0.905123,-0.0362,0.0023,-0.0843,0.092
0.915254,-0.0368,0.0483,-0.1670,0.178
0.924750,-0.0095,0.0960,-0.2344,0.253
0.934802,0.0973,0.1264,-0.3013,0.341
0.944901,0.1456,0.1494,-0.3753,0.429
0.954507,0.1267,0.1745,-0.3977,0.452
0.964736,0.1027,0.1875,-0.3672,0.425
0.974351,0.0687,0.1933,-0.3499,0.406
0.984247,0.0295,0.1473,-0.3354,0.368
0.995171,-0.0196,0.0432,-0.3779,0.381
1.004092,-0.0101,-0.0756,-0.4811,0.487
1.013783,-0.0254,-0.2113,-0.5547,0.594
1.023392,-0.0882,-0.3517,-0.5731,0.678
1.033672,-0.1126,-0.4874,-0.5267,0.726
1.043194,-0.1694,-0.6305,-0.4603,0.799
1.053288,-0.1846,-0.7642,-0.4274,0.895
1.063299,-0.2575,-0.9099,-0.4303,1.039
1.072922,-0.2740,-1.0039,-0.3889,1.111
