time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001110,-0.0555,-0.0671,0.0253,0.091
0.006276,0.0028,-0.1222,0.0254,0.125
0.016768,0.0205,-0.0611,-0.0206,0.068
0.026202,0.0505,0.0249,-0.0140,0.058
0.036107,0.0152,0.1001,-0.0671,0.121
0.046869,0.0068,0.1060,-0.0615,0.123
0.055412,-0.0439,0.0883,-0.0425,0.107
0.065454,-0.0375,0.0357,-0.0240,0.057
0.075088,-0.0267,-0.0113,0.0015,0.029
0.084854,-0.0187,-0.0365,-0.0058,0.041
0.095107,-0.0038,-0.0472,0.0037,0.048
0.104663,0.0157,-0.0366,-0.0057,0.040
0.114540,0.0163,0.0045,0.0087,0.019
0.124482,-0.0019,0.0073,0.0084,0.011
0.134281,-0.0078,0.0147,0.0126,0.021
0.146233,-0.0419,0.0150,0.0095,0.046
0.154380,-0.0285,0.0107,-0.0030,0.031
0.163966,-0.0509,-0.0337,0.0130,0.062
0.173690,-0.0141,-0.0514,0.0265,0.060
0.183969,-0.0062,-0.0383,0.0401,0.056
0.194019,0.0109,-0.0395,0.0346,0.054
0.203439,0.0371,-0.0265,0.0385,0.060
0.213842,0.0347,-0.0091,0.0613,0.071
0.223009,0.0252,0.0150,0.0627,0.069
0.233076,0.0251,0.0505,0.0573,0.080
0.246527,-0.0010,0.0264,0.0642,0.069
0.252847,-0.0361,0.0026,0.0598,0.070
0.262536,-0.0567,-0.0185,0.0276,0.066
0.273458,-0.0582,0.0032,-0.0089,0.059
0.282370,-0.0338,0.0480,-0.0380,0.070
0.293766,-0.0522,0.0500,-0.0721,0.102
0.302425,-0.0823,0.0615,-0.0807,0.131
0.312025,-0.0909,0.0871,-0.0970,0.159
0.322119,-0.1162,0.0864,-0.1017,0.177
0.331991,-0.0988,0.0481,-0.1013,0.149
0.341425,-0.0537,-0.0062,-0.0675,0.086
0.351625,-0.0327,-0.0504,-0.0145,0.062
0.361572,0.0187,-0.1316,0.0221,0.135
0.371731,0.0532,-0.2117,0.0589,0.226
0.381181,0.0073,-0.1730,0.0844,0.193
0.391140,0.0072,-0.1187,0.0635,0.135
0.400836,-0.0232,-0.0583,0.0693,0.094
0.410870,-0.0248,0.0034,0.0540,0.060
0.421230,-0.0024,0.0263,0.0792,0.084
0.430547,0.0177,0.0041,0.0713,0.074
0.446651,0.0900,-0.0413,0.0636,0.118
0.451540,0.1385,-0.0201,0.0634,0.154
0.460010,0.1044,-0.0040,0.0774,0.130
0.470596,0.0902,0.0096,0.0674,0.113
0.480389,0.0574,0.0017,0.0787,0.097
0.489735,0.0364,0.0246,0.0920,0.102
0.499463,0.0031,0.0095,0.1261,0.126
0.510323,0.0074,0.0300,0.1689,0.172
0.519176,-0.0290,-0.0016,0.1639,0.166
0.529171,-0.0204,-0.0232,0.1776,0.180
0.540239,0.0067,-0.0727,0.1956,0.209
0.550652,0.0334,-0.1213,0.1728,0.214
0.559927,0.0596,-0.1455,0.1432,0.213
