time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001487,-0.0635,-0.0322,-0.0479,0.086
0.009244,-0.0581,0.0036,-0.0700,0.091
0.013077,-0.0317,0.0130,-0.0213,0.040
0.023298,-0.0059,0.0034,-0.0263,0.027
0.034046,0.0006,0.0175,0.0032,0.018
0.042838,-0.0191,-0.0015,0.0085,0.021
0.053743,0.0038,-0.0038,0.0235,0.024
0.062532,0.0074,0.0081,0.0247,0.027
0.074671,0.0345,-0.0014,0.0166,0.038
0.083294,0.0517,0.0293,0.0084,0.060
0.092189,0.1018,0.0524,0.0231,0.117
0.101927,0.0593,0.0469,0.0679,0.102
0.112104,0.0577,0.0297,0.0622,0.090
0.121809,0.0019,0.0246,0.0709,0.075
0.132570,-0.0132,0.0477,0.0331,0.060
0.141792,-0.0422,0.0070,0.0389,0.058
0.152816,-0.0398,0.0210,0.0242,0.051
0.161296,-0.0038,0.0160,-0.0185,0.025
0.171348,-0.0177,-0.0125,-0.0893,0.092
0.181085,-0.0130,-0.0358,-0.0796,0.088
0.190887,0.0030,-0.0634,-0.0850,0.106
0.201030,0.0440,-0.1070,-0.0249,0.118
0.210531,0.0653,-0.1498,0.0344,0.167
0.220572,0.0912,-0.1190,0.1006,0.181
0.230662,0.1196,-0.0887,0.1476,0.210
0.240394,0.1009,-0.0543,0.1711,0.206
0.252877,0.0807,-0.0063,0.1669,0.186
0.260950,0.0165,0.0031,0.1400,0.141
0.269841,-0.0158,0.0007,0.0975,0.099
0.279681,-0.0426,-0.0018,0.0394,0.058
0.289815,-0.0217,0.0005,0.0128,0.025
0.300158,-0.0696,-0.0161,0.0072,0.072
0.309270,-0.0346,-0.0724,0.0105,0.081
0.319385,-0.0145,-0.0595,0.0179,0.064
0.329024,0.0428,-0.0632,0.0415,0.087
0.338953,0.0782,-0.0293,0.0957,0.127
0.353279,0.0869,-0.0429,0.1379,0.169
0.358823,0.0696,0.0095,0.1914,0.204
0.368660,0.0007,0.0564,0.2414,0.248
0.379693,-0.0528,0.1331,0.2857,0.320
0.388402,-0.1478,0.2627,0.2940,0.421
0.401277,-0.2087,0.3312,0.2434,0.461
0.408654,-0.2478,0.2998,0.1986,0.437
