time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001130,-0.0283,0.0503,-0.1254,0.138
0.004244,-0.0405,-0.0965,-0.1542,0.186
0.017094,-0.0341,-0.0957,-0.1092,0.149
0.024336,0.0209,-0.0479,-0.0639,0.083
0.033833,0.1120,0.0300,-0.0279,0.119
0.044123,0.1936,0.0693,-0.0037,0.206
0.054025,0.1876,0.0376,0.0377,0.195
0.063494,0.1735,0.0113,0.0097,0.174
0.073419,0.1947,-0.0452,0.0202,0.201
0.083192,0.1973,-0.0326,0.0171,0.201
0.092829,0.0926,-0.0604,0.0120,0.111
0.103147,0.0703,-0.0454,0.0513,0.098
0.113008,0.0390,-0.0682,0.0587,0.098
0.123831,0.0362,0.0014,0.1170,0.122
0.132818,0.1108,0.0110,0.0960,0.147
0.142613,0.1913,0.0065,0.1053,0.218
0.152123,0.2488,0.0422,0.1067,0.274
0.162671,0.2668,0.0774,0.1340,0.308
0.172935,0.2432,0.1215,0.1211,0.298
0.182203,0.2848,0.1320,0.1342,0.341
0.192909,0.3133,0.1237,0.1227,0.358
0.202161,0.3364,0.0452,0.1613,0.376
0.211372,0.3737,-0.0458,0.2088,0.431
0.221523,0.3901,-0.1539,0.2939,0.512
0.231186,0.4069,-0.2272,0.3765,0.599
0.242517,0.4383,-0.2993,0.4431,0.691
0.251139,0.4815,-0.3444,0.4673,0.754
0.260904,0.5575,-0.3680,0.4296,0.794
0.270766,0.6724,-0.3962,0.3620,0.860
0.280962,0.8227,-0.4126,0.3003,0.968
0.290497,0.8988,-0.3724,0.2916,1.016
0.300440,0.9752,-0.3428,0.2675,1.068
0.310986,1.0212,-0.3046,0.2164,1.087
0.320077,1.0994,-0.3050,0.1235,1.148
0.330089,1.1439,-0.3337,0.0607,1.193
0.340136,1.1437,-0.3431,0.0735,1.196
0.349559,1.0899,-0.3429,0.1021,1.147
0.359778,1.0277,-0.2863,0.1374,1.076
0.369707,0.9927,-0.2400,0.1887,1.039
0.379293,0.9656,-0.1544,0.1914,0.996
0.389199,0.9372,-0.1641,0.2486,0.983
0.399378,0.9074,-0.1475,0.2998,0.967
0.409531,0.8642,-0.1494,0.3421,0.941
0.418830,0.8265,-0.1369,0.4215,0.938
0.429071,0.7989,-0.0773,0.5287,0.961
0.438552,0.7507,-0.0209,0.5292,0.919
0.448420,0.6490,0.0232,0.5488,0.850
0.458924,0.5791,0.0716,0.4701,0.749
0.469151,0.4274,0.0863,0.3579,0.564
0.478147,0.2188,0.0414,0.2388,0.327
0.488143,-0.1280,-0.0763,0.0959,0.177
0.497774,-0.6083,-0.2565,-0.0301,0.661
0.508654,-1.1966,-0.4459,-0.0610,1.278
0.517870,-1.9137,-0.6030,-0.0584,2.007
0.528591,-2.6906,-0.7308,0.0161,2.788
0.537240,-3.3360,-0.6980,0.2004,3.414
0.547352,-3.6530,-0.4313,0.4328,3.704
0.558365,-3.5409,0.0826,0.7370,3.618
0.566807,-3.0592,0.6916,0.8730,3.256
0.576988,-2.3392,1.2808,0.8444,2.797
0.586624,-1.6575,1.6717,0.7134,2.460
0.596554,-1.0569,1.8133,0.5450,2.168
0.606731,-0.5786,1.6547,0.4676,1.814
0.616270,-0.2637,1.3570,0.5528,1.489
0.629437,0.0639,0.9924,0.6722,1.200
0.636262,0.3965,0.7684,0.9139,1.258
0.645841,0.7113,0.6150,1.1099,1.455
0.655626,0.9435,0.4051,1.2285,1.601
0.665829,0.9791,0.0928,1.2187,1.566
0.676091,0.7687,-0.2338,1.1473,1.401
0.685190,0.3613,-0.5723,1.0492,1.249
0.695494,-0.3336,-0.8372,0.9780,1.330
0.704944,-0.9716,-0.9759,0.9320,1.663
0.715010,-1.5086,-1.0364,0.9727,2.073
0.729800,-1.9886,-1.0473,1.0723,2.490
0.734977,-2.4177,-0.9604,1.1407,2.841
0.744519,-2.7790,-0.8066,1.1645,3.119
0.754824,-3.0399,-0.7223,1.1872,3.343
0.764486,-3.1936,-0.6167,1.1218,3.441
0.776207,-3.1706,-0.5929,0.9435,3.361
0.784325,-2.9214,-0.5766,0.7000,3.059
0.794112,-2.4253,-0.5485,0.4596,2.529
0.803791,-1.7445,-0.5348,0.2626,1.843
0.814105,-1.0698,-0.4999,0.1713,1.193
0.823405,-0.6174,-0.5033,0.0584,0.799
0.833782,-0.2134,-1.0721,-0.1076,1.098
0.843701,0.1499,-1.0080,-0.3121,1.066
0.853384,0.2183,-1.5162,-0.6180,1.652
0.863113,0.4164,-1.9696,-0.5860,2.097
0.873065,0.5248,-2.3662,-0.5526,2.486
0.883152,0.5841,-2.7754,-0.5028,2.880
0.892660,0.6377,-3.2283,-0.3954,3.314
0.902839,0.6702,-3.2808,-0.3227,3.364
0.912737,0.5930,-3.4017,-0.2732,3.464
0.922316,0.4778,-3.4807,-0.1142,3.515
0.932490,0.3079,-3.5752,0.0149,3.588
0.943095,0.0920,-3.5873,0.0757,3.589
0.952114,-0.1755,-3.5005,0.1546,3.508
0.962499,-0.4111,-3.3033,0.2326,3.337
0.971477,-0.6971,-3.1134,0.2859,3.203
0.981530,-0.9555,-3.0812,0.3390,3.244
0.992484,-1.1376,-3.0827,0.4436,3.316
1.001328,-1.1709,-3.2256,0.5935,3.483
1.011209,-1.1787,-3.3019,0.6138,3.559
1.021182,-1.2494,-3.2756,0.4294,3.532
1.034187,-0.9853,-2.9925,0.4626,3.184
1.042827,-0.3022,-2.3761,0.6783,2.489
1.050991,0.2874,-1.3501,0.7122,1.553
1.060415,0.2471,0.0071,0.2630,0.361
1.070412,-0.0857,1.3684,-0.4052,1.430
1.080672,0.2287,2.4511,-1.4850,2.875
1.092526,0.5387,3.0856,-2.1687,3.810
1.100053,1.2721,4.0596,-3.3834,5.436
1.110302,1.3541,4.9866,-4.1393,6.621
1.119669,1.3731,6.1567,-4.5401,7.772
1.129735,1.3875,7.1763,-3.8958,8.283
1.142571,1.1655,7.4759,-3.4073,8.298
1.149559,0.2170,6.3176,-2.6365,6.849
1.159208,-1.0692,4.4285,-1.8586,4.920
1.169498,-2.1692,2.7367,-1.3911,3.759
1.178982,-3.5118,0.9954,-0.6405,3.706
1.188850,-4.2676,-0.2084,0.1977,4.277
1.199068,-2.9908,-0.6329,1.8712,3.584
1.208934,-1.0018,0.1134,3.1421,3.300
1.218526,0.8406,2.0597,3.7712,4.378
1.228634,1.9859,3.9340,3.3064,5.509
1.238286,2.3614,4.5074,2.2819,5.577
1.248287,2.4957,3.9314,0.3466,4.670
1.258129,2.1617,2.9958,-0.0194,3.694
1.267793,1.1491,2.1951,0.0862,2.479
1.278041,0.1815,1.5708,0.3041,1.610
1.287633,-0.3380,0.8921,0.7980,1.244
1.297544,-0.1352,0.9825,1.1759,1.538
1.308996,0.2535,0.5519,1.1533,1.303
