time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001012,0.0196,0.0153,0.0724,0.077
0.017229,0.0213,-0.0086,0.1432,0.145
0.019572,0.0204,-0.0891,0.1345,0.163
0.029314,0.0121,-0.0554,0.0920,0.108
0.038975,0.0223,-0.0951,0.0493,0.109
0.050156,0.0132,-0.0704,-0.0181,0.074
0.060647,0.0629,-0.0788,-0.0461,0.111
0.068912,0.0809,-0.0374,-0.0392,0.097
0.078941,0.1428,0.0362,-0.0396,0.153
0.088846,0.1701,0.0944,-0.0490,0.201
0.098398,0.2172,0.1470,-0.0627,0.270
0.110740,0.2696,0.1634,-0.0974,0.330
0.117925,0.3579,0.1821,-0.1136,0.417
0.128156,0.4484,0.1983,-0.1095,0.502
0.140506,0.5581,0.1744,-0.0958,0.593
0.150161,0.6449,0.0831,-0.0258,0.651
0.157508,0.7122,-0.0230,0.0126,0.713
0.167566,0.7802,-0.1484,0.0817,0.798
0.178020,0.7833,-0.2693,0.1365,0.839
0.187311,0.7676,-0.3551,0.2130,0.872
0.197122,0.7566,-0.3783,0.2830,0.892
0.207282,0.6645,-0.4036,0.3612,0.857
0.216587,0.5744,-0.3767,0.4482,0.820
0.228541,0.5256,-0.3575,0.5071,0.813
0.236304,0.5571,-0.3296,0.5823,0.871
0.246849,0.6256,-0.2932,0.6057,0.919
0.256421,0.6442,-0.2673,0.5916,0.915
0.266082,0.6539,-0.1690,0.5267,0.856
0.277153,0.6618,-0.0604,0.4733,0.816
0.285987,0.6395,0.0138,0.4061,0.758
0.295697,0.6018,0.0473,0.3644,0.705
0.305461,0.4827,0.0524,0.3480,0.597
0.315765,0.3918,0.0320,0.3549,0.530
0.326250,0.3187,0.0215,0.3746,0.492
0.335050,0.2841,0.0089,0.3966,0.488
0.346733,0.2731,-0.0154,0.4054,0.489
0.354845,0.2807,-0.0513,0.3850,0.479
0.364850,0.3186,-0.1032,0.3731,0.501
0.374799,0.3587,-0.1544,0.3390,0.517
0.384418,0.4298,-0.2263,0.3212,0.582
0.394487,0.4792,-0.1725,0.2894,0.586
0.404435,0.4621,-0.0118,0.2582,0.530
0.413973,0.4288,0.1930,0.1711,0.500
