time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004600,-0.1970,-0.1537,0.1725,0.304
0.025012,-0.2605,0.1044,-0.1617,0.324
0.044746,-0.1929,0.1644,-0.1926,0.318
0.064920,-0.0525,0.1296,-0.2269,0.266
0.085293,0.1221,-0.0235,-0.2606,0.289
0.108233,0.1249,-0.1554,-0.1797,0.268
0.125351,0.0253,-0.1501,-0.0986,0.181
0.145282,-0.0709,-0.0210,-0.1350,0.154
0.165440,-0.1009,0.0366,-0.2583,0.280
0.186359,-0.1231,-0.0254,-0.1987,0.235
0.209673,-0.5482,0.0664,0.2762,0.617
0.225737,-0.5155,-0.1647,-0.1080,0.552
0.246190,-0.4011,-0.3590,-0.1278,0.553
0.265730,-0.1909,-0.3904,-0.0417,0.437
0.285629,-0.0094,-0.2375,-0.1009,0.258
0.306677,0.1577,-0.0927,-0.1597,0.243
0.326165,0.1479,-0.0373,-0.2361,0.281
0.346058,0.1349,-0.0133,-0.1898,0.233
0.366092,0.2006,0.0869,-0.1268,0.253
0.386940,0.1902,0.1876,-0.2068,0.338
0.407151,0.1864,0.2378,-0.3146,0.436
0.426458,0.2986,0.2363,-0.3590,0.523
0.446646,0.3810,0.1518,-0.3137,0.516
0.466485,0.4504,0.0173,-0.2681,0.524
0.486645,0.4056,-0.0135,-0.2377,0.470
0.506830,0.2662,0.0073,-0.1646,0.313
0.526745,0.1283,0.0486,-0.1613,0.212
0.546798,0.0757,0.0391,-0.2171,0.233
0.567547,0.0392,-0.0512,-0.2942,0.301
0.587168,-0.0161,-0.1467,-0.4522,0.476
0.607045,-0.0633,-0.2412,-0.5701,0.622
0.627173,-0.0822,-0.2741,-0.5631,0.632
0.647447,-0.0250,-0.2414,-0.4999,0.556
0.667403,-0.0111,-0.2276,-0.3984,0.459
0.687252,-0.0154,-0.2243,-0.3473,0.414
0.707623,-0.1049,-0.2849,-0.4062,0.507
0.728352,-0.1912,-0.3743,-0.5121,0.662
0.747654,-0.2112,-0.4643,-0.5827,0.774
0.767877,-0.1456,-0.4978,-0.5778,0.776
0.787925,-0.1067,-0.5957,-0.5904,0.845
0.808054,-0.1074,-0.8526,-0.7093,1.114
0.828117,-0.0472,-1.2189,-0.8356,1.479
0.848407,0.0371,-1.6369,-1.0605,1.951
0.869120,0.0761,-2.0841,-1.1008,2.358
0.888207,-0.0202,-2.5029,-0.7958,2.626
0.908530,-0.0466,-2.8186,-0.2735,2.832
0.928610,-0.1946,-3.0242,0.4384,3.062
0.948845,-0.6386,-3.0519,1.0533,3.291
0.968401,-1.2151,-2.7811,1.2651,3.288
0.988543,-1.3271,-2.2243,1.1185,2.821
1.009650,-0.6807,-1.7520,0.6136,1.977
1.028897,0.2140,-1.6981,-0.1242,1.716
1.049090,0.7625,-1.7019,-0.4008,1.907
1.069148,1.0243,-1.3979,0.0160,1.733
1.089424,1.0841,-0.9569,0.4531,1.515
1.113561,0.8238,-0.5354,0.6438,1.175
1.129719,0.4438,-0.2175,0.5163,0.715
1.149811,-0.2449,0.3371,0.1900,0.458
1.169425,-0.8077,1.0790,-0.1497,1.356
1.189725,-0.8374,1.7354,-0.4380,1.976
1.213754,-0.6324,2.0394,-0.5608,2.208
1.229921,-0.4057,2.0355,-0.8348,2.237
1.249759,0.1197,1.6318,-1.0794,1.960
1.269836,0.8939,0.9852,-0.8589,1.583
1.290461,1.2827,0.2490,-0.4728,1.390
1.314314,1.1824,-0.0406,-0.1043,1.188
1.330365,0.8966,-0.1391,0.2272,0.935
1.350676,0.6054,-0.0388,-0.0598,0.610
1.370778,0.4087,-0.2472,-0.2068,0.521
1.390507,-0.0590,-0.2985,-0.0997,0.320
1.414782,-0.6606,-0.0255,0.0606,0.664
1.431310,-0.9730,-0.1567,0.2882,1.027
1.452174,-1.0496,-0.5158,0.3838,1.231
1.470613,-0.6242,-0.6811,0.3280,0.980
1.491108,-0.2285,-0.7812,0.2050,0.839
1.517652,-0.1724,-0.6412,0.0564,0.666
1.531088,-0.2051,-0.3642,-0.0609,0.422
1.552594,-0.2316,0.1950,0.0140,0.303
1.571566,0.0149,1.2170,0.0181,1.217
1.591578,0.1708,3.9459,0.0771,3.950
1.614378,0.4284,6.3953,-0.2267,6.414
1.631627,0.7525,4.1387,-0.5265,4.239
1.651361,0.3117,5.1532,-0.7110,5.211
1.671566,0.3153,5.3994,-0.7735,5.464
1.692221,1.0306,4.6703,-1.1974,4.930
1.714542,0.7969,2.9559,-0.6579,3.131
1.731955,-0.1310,1.2649,0.6406,1.424
1.751855,-0.4308,-0.1585,1.3646,1.440
1.771989,-0.4513,-1.5377,1.6744,2.318
1.792090,-0.4525,-2.3780,1.5245,2.861
1.818158,-0.4178,-2.5106,1.1240,2.782
1.832100,-0.3765,-2.1134,0.4157,2.187
1.853582,-0.2178,-1.8088,0.0166,1.822
1.872760,-0.3026,-1.5686,0.0307,1.598
1.893669,-0.6614,-1.1140,0.1342,1.303
1.915211,-0.9450,-0.2122,-0.2878,1.010
1.932745,-0.6930,0.5293,-0.9923,1.321
1.952679,0.0149,0.6160,-1.1895,1.340
1.973108,0.6362,0.4314,-0.7367,1.065
1.993394,0.8242,0.2692,-0.5678,1.036
2.014471,0.7462,0.1378,-0.4559,0.885
2.033333,0.4992,-0.0594,0.0545,0.506
2.053460,0.0612,-0.1536,0.2882,0.332
2.073504,0.3603,-0.3043,0.9307,1.043
2.093778,0.4091,-0.0421,0.5962,0.724
2.114590,0.9294,0.0858,0.6255,1.124
2.134619,0.9447,0.5722,0.0754,1.107
2.153875,1.2440,0.7347,-0.2975,1.475
2.173997,1.2167,0.6247,-0.2323,1.387
2.193835,1.2033,-0.1726,-0.2893,1.250
2.214499,0.8084,-0.6013,-0.7138,1.235
2.234928,0.0597,-0.6751,-0.9357,1.155
2.254286,-0.8734,-0.6548,-0.8267,1.369
2.274533,-1.1209,-0.5672,-0.3872,1.315
2.294320,-1.2886,-0.7980,0.4100,1.570
2.314464,-1.4390,-0.7611,0.3319,1.661
2.334823,-1.1494,-0.3893,-0.5024,1.313
2.354485,-0.4490,0.1991,-0.9937,1.108
2.375462,0.3749,1.1432,-1.1203,1.644
2.394614,0.4049,1.5717,-1.1995,2.018
2.415048,0.2403,0.7324,-1.1450,1.380
2.435196,-0.0206,0.3698,-0.6558,0.753
2.454973,-0.6558,1.1336,-1.0857,1.701
2.475542,-0.8391,1.2913,-1.1246,1.907
2.495087,-0.6102,1.0330,-0.2166,1.219
2.515361,-0.1496,0.4289,0.1642,0.483
2.535443,0.4162,0.0423,-0.2128,0.469
2.556058,0.6451,-0.2376,-0.6394,0.939
2.575588,0.5425,-0.4575,-0.8487,1.106
2.595678,0.3639,-0.0941,-0.9314,1.004
2.616031,0.2778,0.6979,-1.3255,1.524
2.635871,0.2676,0.9024,-1.7933,2.025
2.655910,0.5147,0.2836,-1.2100,1.345
2.675496,-0.0099,-0.0811,-0.7890,0.793
2.695974,-0.5880,0.0730,-0.5283,0.794
2.717122,-0.7443,0.1872,-0.3737,0.854
2.736404,-0.1695,0.2252,-0.8763,0.921
2.756200,0.2217,0.1216,-1.2216,1.248
2.776187,-0.2249,-0.0672,-0.9639,0.992
2.796443,-1.0260,-0.8826,0.0204,1.354
2.816761,-1.4202,-1.4877,0.0650,2.058
2.837427,-1.1819,-1.3307,-0.1153,1.783
2.857013,-0.7964,-0.5524,-0.7251,1.210
2.877460,-0.7547,-0.3551,-0.4419,0.944
2.896929,-0.8647,-0.5197,-0.1669,1.023
2.917260,-1.2382,-0.6997,-0.0474,1.423
2.937408,-1.6970,-0.8438,0.6743,2.012
2.957253,-1.4085,-0.8805,1.2324,2.068
2.977501,-1.2192,-0.5500,1.0190,1.681
2.997332,-1.0294,-0.5414,0.9258,1.487
3.021733,-0.3461,-1.1048,2.0502,2.355
3.037447,0.5948,-1.3287,1.8879,2.384
3.057624,1.9824,-1.3954,1.7429,2.986
3.077412,2.9346,-1.1510,1.5921,3.531
3.097619,2.3136,-0.8646,0.4441,2.509
3.120257,1.5186,-0.0385,0.2827,1.545
3.137841,1.1241,0.5488,-0.2469,1.275
3.158225,0.9118,0.8666,-1.1929,1.734
3.178246,0.7591,1.0055,-0.9792,1.596
3.198409,0.4029,0.7231,-0.9004,1.223
3.220838,0.1431,0.4714,-0.7954,0.936
3.238627,-0.0885,0.8348,-0.5731,1.016
3.258754,-0.6217,1.0840,-0.6957,1.430
3.278619,-0.9785,0.9470,-0.7076,1.535
3.298503,-0.8230,0.3062,-0.0985,0.884
3.319459,-0.6449,-0.0037,0.0062,0.645
3.338758,-0.8821,0.0018,-0.0298,0.883
3.359207,-1.1339,0.0017,0.1945,1.151
3.378855,-1.3681,0.2114,0.2641,1.409
3.399804,-1.2421,0.6216,-0.0146,1.389
3.419685,-0.9814,0.5267,-0.7945,1.368
3.439575,-0.3122,0.2853,-1.0764,1.156
3.459212,0.2188,-0.1384,-0.7291,0.774
3.479187,0.1743,-0.0853,-0.2269,0.299
3.499643,-0.3244,0.4529,-0.0475,0.559
3.519411,-0.8717,0.7792,-0.1753,1.182
3.541596,-0.8604,0.9943,-0.1013,1.319
3.559535,-0.7339,1.2742,-0.0096,1.470
3.579718,-0.7736,1.1750,0.2320,1.426
3.599782,-0.6500,0.7164,-0.0604,0.969
3.620532,-0.2232,0.1904,-0.5788,0.649
3.640059,0.0931,-0.2280,-1.0170,1.046
3.659964,0.3183,-0.5262,-1.2208,1.367
3.680708,-0.5455,0.0375,-0.8982,1.052
3.700421,-1.0708,0.2632,-0.2404,1.129
3.720284,-1.4159,0.4574,0.1802,1.499
3.740471,-1.3107,0.5087,0.2239,1.424
3.760446,-0.9887,0.3516,-0.1371,1.058
3.781070,-0.6461,0.1459,-0.5868,0.885
3.802037,-0.3850,-0.0007,-0.9034,0.982
3.821443,-0.3279,-0.1281,-0.6531,0.742
3.841146,-0.6990,-0.0894,0.1461,0.720
3.861226,-1.2651,0.3426,0.5772,1.432
3.880926,-1.5229,0.8062,0.4114,1.772
3.901666,-1.1236,0.7979,-0.1127,1.383
3.923308,-0.4637,0.5244,-0.5027,0.862
3.941578,0.0223,0.3367,-0.5850,0.675
3.961610,0.2358,0.3180,-0.6572,0.767
3.981706,0.2463,0.4089,-0.6121,0.776
4.001778,0.0353,0.5808,-0.3908,0.701
4.021592,-0.2831,0.7094,-0.0705,0.767
4.041696,-0.5297,0.8098,0.1909,0.986
4.061886,-0.5616,0.7446,0.1553,0.946
4.082392,-0.4625,0.4621,0.0465,0.655
4.102545,-0.4103,0.1772,-0.2492,0.512
4.122078,-0.4366,0.0951,-0.4975,0.669
4.142373,-0.5369,0.2300,-0.5770,0.821
4.162499,-0.5922,0.3334,-0.3286,0.755
4.182341,-0.6995,0.3113,-0.1476,0.780
4.202641,-0.8509,0.2043,-0.0844,0.879
4.222363,-0.8835,0.1955,-0.1500,0.917
4.242980,-0.8561,0.2778,-0.2327,0.930
4.262807,-0.7670,0.3454,-0.2783,0.886
4.282629,-0.6154,0.4269,-0.2971,0.806
4.303668,-0.5150,0.4665,-0.2321,0.733
4.322913,-0.4797,0.4248,-0.1754,0.664
4.343107,-0.4368,0.3698,-0.1676,0.596
4.363070,-0.3748,0.3344,-0.1934,0.538
4.383716,-0.3211,0.3508,-0.2560,0.540
4.403359,-0.2813,0.3772,-0.2753,0.545
4.423298,-0.2837,0.3785,-0.2499,0.535
4.443884,-0.3480,0.3837,-0.1630,0.543
4.463379,-0.4507,0.3734,-0.1463,0.603
4.483449,-0.5054,0.3411,-0.1462,0.627
4.503855,-0.5352,0.3370,-0.1478,0.649
4.523813,-0.5671,0.3405,-0.2079,0.693
4.544286,-0.5794,0.3407,-0.2503,0.717
4.563948,-0.5683,0.3338,-0.2591,0.708
4.583934,-0.5690,0.3135,-0.2469,0.695
4.604533,-0.5802,0.3187,-0.2574,0.710
4.624417,-0.5497,0.3285,-0.2487,0.687
4.644646,-0.5626,0.3555,-0.2132,0.699
4.664888,-0.5395,0.3627,-0.1700,0.672
4.684302,-0.5019,0.3602,-0.1549,0.637
4.705194,-0.4929,0.3545,-0.1762,0.632
4.724934,-0.4675,0.3479,-0.2119,0.620
4.744876,-0.4373,0.3060,-0.1977,0.569
4.765298,-0.4296,0.2814,-0.1884,0.547
4.785068,-0.4378,0.3024,-0.1508,0.553
4.805326,-0.4570,0.3209,-0.1743,0.585
4.824998,-0.4825,0.3309,-0.1836,0.613
4.845164,-0.5278,0.3019,-0.1894,0.637
4.865181,-0.5510,0.2775,-0.1971,0.648
4.886201,-0.5564,0.2819,-0.1842,0.650
4.905620,-0.5614,0.3235,-0.1826,0.673
4.925791,-0.5654,0.3774,-0.2112,0.712
4.945960,-0.5305,0.3976,-0.2348,0.703
4.965414,-0.4454,0.3552,-0.2380,0.617
4.985658,-0.3616,0.3482,-0.2254,0.550
5.005734,-0.3565,0.3286,-0.1622,0.511
5.026448,-0.3924,0.3651,-0.2277,0.582
5.046326,-0.4211,0.4195,-0.2328,0.638
5.066189,-0.3780,0.5142,-0.2198,0.675
5.086344,-0.2635,0.4421,-0.1115,0.527
5.106627,-0.4281,0.3187,-0.1105,0.545
5.126294,-0.6083,0.1150,-0.1899,0.648
5.147044,-0.6411,0.0820,-0.2243,0.684
5.166935,-0.6024,0.1344,-0.2308,0.659
5.186594,-0.6085,0.3724,-0.1896,0.738
