time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.009847,0.0592,-0.0950,-0.0235,0.114
0.029222,0.0764,-0.0552,-0.0858,0.127
0.049594,0.1095,-0.0153,-0.0386,0.117
0.069623,0.0692,0.0398,-0.0115,0.081
0.090466,0.0348,0.0534,-0.0107,0.065
0.110225,0.0439,0.0094,-0.0454,0.064
0.131205,0.0633,-0.0233,-0.0531,0.086
0.150462,0.1003,-0.0450,-0.0595,0.125
0.170104,0.1055,-0.0734,-0.0475,0.137
0.190261,0.0986,-0.0750,-0.0290,0.127
0.210356,0.0652,-0.0458,-0.0141,0.081
0.230070,0.0654,-0.0344,-0.0123,0.075
0.250164,0.0640,-0.0365,-0.0211,0.077
0.270309,0.0580,-0.0367,-0.0078,0.069
0.290814,0.0707,-0.0221,-0.0123,0.075
0.310820,0.0805,-0.0178,-0.0539,0.098
0.331549,0.1133,-0.0220,-0.0982,0.152
0.350862,0.1231,-0.0557,-0.1187,0.180
0.371057,0.1093,-0.0584,-0.1083,0.165
0.391044,0.0656,-0.0593,-0.0861,0.123
0.411475,0.0753,-0.0813,-0.0878,0.141
0.431861,0.1232,-0.0736,-0.0817,0.165
0.451416,0.1534,-0.0816,-0.1154,0.209
0.472119,0.2134,-0.0575,-0.0316,0.223
0.491388,0.2157,-0.0424,-0.1046,0.243
0.516938,0.1378,-0.1116,-0.2765,0.328
0.531923,0.1006,-0.2288,-0.2119,0.328
0.551746,0.1010,-0.2211,-0.0860,0.258
0.572089,0.0768,-0.0642,-0.0536,0.114
0.591747,0.0865,0.0225,-0.1148,0.145
0.612809,0.0691,0.0089,-0.1444,0.160
0.632110,0.0419,0.0958,-0.1343,0.170
0.651903,0.0840,0.2398,-0.0356,0.257
0.672177,0.0295,0.3454,0.1614,0.382
0.692106,-0.0694,0.2522,0.2952,0.394
0.712474,-0.1231,0.0417,0.3055,0.332
0.735079,-0.1423,-0.2104,0.2785,0.377
0.752404,-0.1256,-0.3272,0.1869,0.397
0.772487,-0.1062,-0.2560,-0.0257,0.278
0.792626,-0.0097,-0.1405,-0.2597,0.295
0.812904,0.1474,-0.1200,-0.4176,0.459
0.835303,0.3122,-0.1548,-0.4444,0.565
0.853214,0.4051,-0.1813,-0.4569,0.637
0.873138,0.3600,-0.1969,-0.4636,0.619
0.894820,0.2503,-0.1893,-0.4015,0.510
0.913088,0.1990,-0.2287,-0.3753,0.482
0.933926,0.1386,-0.3373,-0.3913,0.535
0.953672,0.1152,-0.5398,-0.4178,0.692
0.973279,0.0804,-0.7348,-0.5111,0.899
0.993748,0.1586,-0.9560,-0.6554,1.170
1.013483,0.2480,-1.2598,-0.7425,1.483
1.033744,0.1335,-1.6017,-0.7755,1.785
1.053777,-0.0339,-1.9183,-0.6862,2.038
1.073731,-0.1697,-2.2243,-0.3296,2.255
