time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003070,-0.0328,-0.0214,-0.0078,0.040
0.014309,0.1848,0.1240,-0.0749,0.235
0.034570,0.1573,-0.0752,-0.1174,0.210
0.054504,-0.0266,-0.4828,-0.2801,0.559
0.074877,-0.1717,-0.3456,-0.0742,0.393
0.094407,-0.1987,-0.0449,-0.0637,0.213
0.114765,-0.1441,0.1639,-0.1399,0.259
0.135159,-0.0738,0.2358,-0.2503,0.352
0.155608,-0.0219,0.2174,-0.2074,0.301
0.178319,0.0173,0.1089,-0.1637,0.197
0.195218,0.0272,-0.0156,-0.1019,0.107
0.215197,0.0798,-0.0608,-0.0200,0.102
0.235513,0.0996,0.0154,-0.0947,0.138
0.255623,0.1084,-0.0172,-0.0501,0.121
0.278457,0.0718,-0.0717,0.0123,0.102
0.295297,0.0339,-0.0173,0.0429,0.057
0.315637,0.0152,0.0144,0.0514,0.056
0.336108,-0.0162,-0.0762,-0.0210,0.081
0.355786,-0.0057,-0.1531,-0.0448,0.160
0.378375,0.0447,-0.1320,-0.0868,0.164
0.395665,0.0294,-0.0599,-0.1151,0.133
0.416431,-0.0379,-0.0033,-0.0842,0.092
0.436431,-0.0527,0.0176,-0.0500,0.075
0.456963,-0.0610,-0.0443,-0.0908,0.118
0.476043,-0.0801,-0.0553,-0.0565,0.113
0.497263,-0.0573,-0.0861,-0.0349,0.109
0.516580,-0.0259,-0.0812,-0.0358,0.092
0.536437,-0.0022,-0.0251,-0.0393,0.047
0.556740,-0.0283,0.0998,-0.0794,0.131
0.576748,-0.0539,0.1493,-0.1122,0.194
0.597624,-0.0692,0.1411,-0.1251,0.201
0.616692,-0.0571,0.0517,-0.1204,0.143
0.637465,0.0047,0.0196,-0.1446,0.146
0.657779,0.0810,0.0753,-0.1548,0.190
0.677438,0.1322,0.1267,-0.1368,0.229
0.697765,0.1957,0.0646,-0.1788,0.273
0.717555,0.3001,0.0471,-0.0805,0.314
0.737721,0.3335,-0.0633,0.0842,0.350
0.757474,0.1824,-0.3688,0.1582,0.441
0.777639,-0.0502,-0.4989,0.1275,0.517
0.797648,-0.1510,-0.3379,0.1176,0.388
0.817768,-0.1367,-0.0052,0.0168,0.138
0.838321,-0.0667,0.2379,-0.2298,0.337
0.858052,-0.0107,0.2532,-0.4809,0.544
0.878401,-0.0156,0.1597,-0.4626,0.490
0.897956,-0.0548,0.0251,-0.3712,0.376
0.918069,-0.0902,-0.0265,-0.2378,0.256
0.938698,-0.0711,-0.0783,-0.1036,0.148
0.958699,-0.1350,-0.0530,-0.1399,0.202
0.978966,-0.2257,-0.1282,-0.0757,0.270
0.999051,-0.2208,-0.1858,0.0932,0.303
1.019143,-0.1565,-0.0818,0.2947,0.344
1.038670,-0.1450,0.0238,0.3452,0.375
1.058748,-0.1079,0.0579,0.3079,0.331
1.078926,-0.0524,0.0377,0.3243,0.331
1.101846,0.0138,0.0287,0.2900,0.292
1.119150,0.0390,0.0316,0.1724,0.180
1.139358,0.0552,-0.0202,0.0864,0.105
1.159435,0.0801,-0.0864,-0.0025,0.118
1.179156,0.1214,-0.1040,-0.0786,0.178
1.200661,0.1503,-0.1131,-0.1595,0.247
1.219605,0.1719,-0.0445,-0.2219,0.284
1.239497,0.1991,-0.0088,-0.2722,0.337
1.259951,0.1352,-0.1058,-0.3374,0.379
1.279823,-0.0024,-0.2055,-0.3864,0.438
1.300519,-0.0988,-0.2163,-0.2842,0.371
1.319733,-0.0971,-0.1410,-0.0098,0.171
1.340090,0.0401,-0.0260,0.2253,0.230
1.360213,0.1301,0.0620,0.4012,0.426
1.381677,0.0498,0.0768,0.4672,0.476
1.401064,-0.1716,0.2650,0.4450,0.546
1.420057,-0.3564,0.4485,0.3536,0.673
1.441027,-0.4791,0.4191,0.1598,0.656
1.460270,-0.4855,0.2630,0.0226,0.553
1.481188,-0.3343,0.0133,-0.0942,0.348
1.501145,-0.1172,-0.1960,-0.1855,0.294
1.520695,0.0266,-0.2919,-0.2689,0.398
1.541030,0.0996,-0.3573,-0.4043,0.549
1.561724,0.1269,-0.3195,-0.6248,0.713
1.581087,0.1876,-0.3063,-0.6552,0.747
1.601550,0.2250,-0.2786,-0.7167,0.801
1.620891,0.2235,-0.1973,-0.7081,0.768
1.641559,0.2479,-0.1734,-0.5481,0.626
1.661423,0.2630,-0.0555,-0.4035,0.485
