time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000745,-0.1703,-0.1686,0.0603,0.247
0.020028,-0.1778,-0.1142,0.0780,0.225
0.040016,-0.2184,-0.0996,0.0874,0.255
0.060476,-0.2483,-0.0109,0.0668,0.257
0.080676,-0.2443,0.0787,-0.0807,0.269
0.100259,-0.2545,0.0626,-0.1039,0.282
0.120342,-0.2600,-0.0278,-0.0232,0.262
0.140599,-0.2377,-0.1235,0.0932,0.284
0.160716,-0.2503,-0.1814,0.1868,0.361
0.181447,-0.2756,-0.1907,0.1926,0.387
0.201074,-0.2988,-0.1832,0.1783,0.393
0.221019,-0.3130,-0.1280,0.2069,0.396
0.240977,-0.3668,-0.0903,0.1849,0.421
0.262858,-0.4137,-0.0697,0.1780,0.456
0.282558,-0.4158,-0.0976,0.1967,0.470
0.301221,-0.3966,-0.1158,0.2325,0.474
0.321839,-0.4074,-0.0991,0.2780,0.503
0.341855,-0.4071,-0.0751,0.3032,0.513
0.361676,-0.3891,-0.0688,0.2828,0.486
0.382604,-0.3640,-0.0480,0.2780,0.461
0.401569,-0.3703,-0.0376,0.2704,0.460
0.422055,-0.3740,-0.0572,0.2674,0.463
0.441886,-0.4250,-0.0787,0.2371,0.493
0.461766,-0.4770,-0.1086,0.1893,0.525
0.482101,-0.5147,-0.0475,0.1632,0.542
0.502028,-0.5007,0.0272,0.1938,0.538
0.533052,-0.5000,0.1145,0.2363,0.565
0.542097,-0.3949,0.1666,0.2179,0.481
0.562372,-0.2031,0.0946,0.1196,0.254
0.582754,0.1000,-0.0439,-0.0010,0.109
0.603054,0.5568,-0.2861,-0.0668,0.630
0.623261,0.9796,-0.5266,0.0702,1.114
0.645429,1.0978,-0.5184,0.5470,1.332
0.665507,0.6290,-0.1825,0.6563,0.927
0.685479,0.1234,0.2420,0.8483,0.891
0.705218,-0.4444,0.5891,0.9297,1.187
0.725379,-0.7427,0.8112,0.9100,1.427
