time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001956,0.3270,-0.0369,0.0932,0.342
0.016888,0.0934,0.0346,0.1989,0.222
0.037183,0.1993,-0.2139,0.1396,0.324
0.058384,0.4524,-0.3364,0.0583,0.567
0.077193,0.5660,-0.1986,-0.0716,0.604
0.098087,0.5418,-0.2621,-0.3873,0.716
0.117599,0.5177,-0.0701,-0.2440,0.577
0.138206,0.5578,0.2481,-0.3295,0.694
0.157719,0.5117,0.3056,-0.2594,0.650
0.178195,0.4021,0.3047,-0.2204,0.551
0.197735,0.3739,0.1125,-0.1693,0.426
0.217756,0.4335,-0.0769,-0.1523,0.466
0.238407,0.4503,-0.1184,-0.1631,0.493
0.258574,0.4269,0.0360,-0.2122,0.478
0.280556,0.4307,0.0407,-0.2405,0.495
0.298555,0.3963,-0.0367,-0.2565,0.473
0.318539,0.4052,0.0389,-0.3682,0.549
0.339068,0.5005,-0.1592,-0.3947,0.657
0.358913,0.6359,-0.3920,-0.3586,0.829
0.378482,0.7026,-0.3527,-0.1547,0.801
0.398733,0.7396,-0.2403,0.0347,0.778
0.420337,0.5315,-0.0858,0.2047,0.576
0.439215,0.3719,0.0764,0.2520,0.456
0.460339,0.2194,0.2460,0.4256,0.538
0.479919,0.0608,0.3496,0.5510,0.655
0.499156,0.0561,0.3045,0.5287,0.613
0.519107,0.2496,0.1288,0.5066,0.579
0.539447,0.3870,-0.0500,0.4855,0.623
0.559691,0.5239,-0.1824,0.4867,0.738
0.580107,0.6939,-0.3287,0.5018,0.917
0.599625,0.8217,-0.4176,0.4881,1.043
0.619877,0.8580,-0.4181,0.5455,1.099
0.639898,0.6877,-0.4093,0.5702,0.983
0.663216,0.4873,-0.4332,0.5155,0.831
0.679993,0.3936,-0.4148,0.5695,0.807
0.700842,0.4331,-0.2714,0.7583,0.914
0.720161,0.4707,-0.0343,0.8452,0.968
0.740213,0.4654,0.0832,0.8342,0.959
0.761102,0.2734,0.0614,0.8278,0.874
0.780841,0.1210,0.1093,0.8301,0.846
0.800811,0.0507,0.2783,0.8143,0.862
0.820844,-0.1795,0.6219,0.6261,0.901
0.840973,-0.4520,1.3613,-0.2096,1.450
0.861549,-0.2353,1.2876,-1.1545,1.745
0.881188,0.3447,-0.4768,-1.1791,1.318
0.901204,0.6186,-2.1016,-0.8046,2.334
0.920914,0.3420,-2.8555,-0.5106,2.921
0.941123,-0.0463,-2.2928,-0.3285,2.317
0.961539,0.0251,-0.7325,-0.4288,0.849
0.983061,0.4961,0.8649,-0.8919,1.338
1.001476,0.9966,1.9400,-1.0475,2.420
1.021402,0.8363,1.5644,-0.8819,1.981
1.043203,0.3775,0.7706,-0.3767,0.937
1.062032,-0.0674,0.0968,0.0994,0.154
1.081792,-0.4191,-0.1465,0.1726,0.476
1.102227,-0.3505,0.2649,0.1167,0.455
1.121947,-0.0022,0.9513,0.0073,0.951
1.142124,0.1577,1.3186,-0.0851,1.331
1.161941,-0.1517,1.3499,-0.0332,1.359
1.182163,-0.5860,0.9195,0.1036,1.095
1.202324,-0.7922,0.2858,0.1513,0.856
1.222617,-0.5974,-0.3613,0.1246,0.709
1.243352,-0.1952,-0.8291,-0.0340,0.852
1.263192,0.1194,-0.9777,-0.2151,1.008
1.282703,0.2278,-0.8740,-0.2535,0.938
1.302533,0.1092,-0.5947,-0.2640,0.660
1.322803,-0.0723,-0.2830,-0.2785,0.404
1.343109,-0.1455,-0.1754,-0.2130,0.312
1.362842,-0.1223,-0.5064,-0.1247,0.536
1.383750,-0.1311,-0.8420,-0.2250,0.881
1.404540,-0.0143,-0.9711,-0.4106,1.054
1.423848,0.1569,-0.9942,-0.2791,1.044
1.443240,0.1730,-0.8825,0.0650,0.902
1.463450,0.0340,-0.8937,0.2636,0.932
1.484603,-0.3035,-0.8478,0.2695,0.940
1.503575,-0.7577,-0.2645,0.3978,0.896
1.523334,-0.7194,0.3355,0.4832,0.929
1.545650,-0.3213,0.4200,0.3430,0.630
1.564088,0.2457,-0.1613,0.1091,0.314
1.585602,0.8476,-1.1754,0.1178,1.454
1.604110,0.8087,-1.8590,0.2296,2.040
1.624698,0.3961,-1.7321,0.2972,1.801
