time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001615,0.0780,-0.2541,0.2139,0.341
0.010932,0.0626,-0.1134,0.2104,0.247
0.032177,0.1966,-0.2136,0.0822,0.302
0.051429,0.2494,-0.0545,-0.0722,0.265
0.071141,0.3568,0.0406,-0.4497,0.575
0.091063,0.4861,0.1343,-0.3016,0.588
0.110862,0.5128,0.6030,-0.0226,0.792
0.131803,0.2016,0.6604,0.5564,0.887
0.151459,-0.2059,0.4642,0.9555,1.082
0.172067,-0.4923,0.2838,0.9413,1.100
0.192514,-0.6434,0.2127,0.8685,1.102
0.212054,-0.6133,0.1658,0.8660,1.074
0.232348,-0.4297,0.1274,0.8447,0.956
0.252280,-0.2232,0.0467,0.7719,0.805
0.272805,0.0088,-0.0539,0.7020,0.704
0.293257,0.1124,-0.1694,0.5582,0.594
0.312864,0.2028,-0.2795,0.4068,0.534
0.332653,0.2733,-0.3790,0.3350,0.575
0.353058,0.2571,-0.4562,0.3519,0.631
0.372620,0.2344,-0.5034,0.4723,0.729
0.393224,0.1994,-0.5850,0.6270,0.880
0.412621,0.0590,-0.5584,0.7150,0.909
0.432770,0.0442,-0.4831,0.7306,0.877
0.453032,0.0061,-0.3996,0.7231,0.826
0.473035,-0.0345,-0.3619,0.6538,0.748
0.493466,0.0769,-0.4124,0.5739,0.711
0.513049,0.2486,-0.5182,0.6040,0.834
0.533552,0.2405,-0.3817,0.8029,0.921
0.553630,0.0860,-0.2015,1.0537,1.076
0.573810,-0.1155,-0.1034,0.9371,0.950
0.594792,-0.6286,0.1414,0.8826,1.093
0.615606,-0.6950,0.8386,0.5571,1.223
0.633797,-0.6807,2.0604,0.4053,2.207
0.654124,-0.8266,3.4965,-0.0142,3.593
0.673838,-0.4926,4.1785,-1.1036,4.350
0.694239,0.8862,3.2167,-1.1698,3.536
0.713846,1.5070,2.2566,-0.5768,2.774
0.734157,0.9081,2.3200,-0.5031,2.542
0.753874,-0.1930,2.7362,-1.2975,3.034
0.773979,-0.9094,2.6804,-2.2021,3.586
0.795520,-1.0800,2.0276,-2.5353,3.421
0.814474,-1.0378,0.9474,-2.3542,2.742
0.834905,-1.0992,-0.0147,-1.7019,2.026
0.854456,-0.8775,-0.2147,-0.7031,1.145
0.874862,-0.6850,-0.0960,-0.3086,0.757
