time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001152,-0.0320,0.0044,-0.3480,0.349
0.015041,0.0636,0.1684,-0.0235,0.182
0.017807,0.0995,0.1616,0.2364,0.303
0.031646,0.0931,0.0697,0.2170,0.246
0.037669,0.0734,-0.0811,0.1058,0.152
0.047324,0.0778,-0.1804,-0.0141,0.197
0.057792,0.0706,-0.2506,-0.0726,0.270
0.067315,0.0820,-0.2497,-0.0525,0.268
0.078788,0.1277,-0.1666,-0.0838,0.226
0.086845,0.0687,-0.0380,-0.0781,0.111
0.096878,0.0274,0.0430,-0.0939,0.107
0.107298,0.0295,0.1293,-0.1290,0.185
0.116445,-0.0662,0.1619,-0.0821,0.193
0.126612,-0.1354,0.1394,-0.0771,0.209
0.136370,-0.1464,0.1881,-0.2072,0.316
0.146158,-0.1801,0.1942,-0.3323,0.425
0.156948,-0.2645,0.1489,-0.4385,0.533
0.165567,-0.3103,0.1662,-0.4864,0.600
0.178472,-0.3729,0.2005,-0.5123,0.665
0.185721,-0.4173,0.2465,-0.4972,0.694
0.195496,-0.5004,0.3276,-0.5075,0.784
0.204975,-0.5483,0.3301,-0.5281,0.830
0.215359,-0.5598,0.3631,-0.5034,0.836
0.225072,-0.5852,0.3181,-0.5051,0.836
0.234919,-0.5295,0.2694,-0.4393,0.739
0.244837,-0.4148,0.2314,-0.3691,0.602
0.255245,-0.3474,0.2064,-0.3634,0.543
0.264352,-0.2440,0.1826,-0.4005,0.503
0.279152,-0.2066,0.1672,-0.4849,0.553
0.284774,-0.1845,0.1763,-0.5539,0.610
0.294667,-0.1610,0.1881,-0.6352,0.682
0.305293,-0.1363,0.2117,-0.6006,0.651
0.314027,-0.1602,0.2610,-0.5668,0.644
0.324307,-0.1564,0.2719,-0.5452,0.629
0.333877,-0.1440,0.2401,-0.5493,0.617
0.343375,-0.2121,0.2322,-0.6372,0.711
0.353289,-0.2170,0.1465,-0.6309,0.683
0.363307,-0.2510,0.0831,-0.6171,0.671
0.373075,-0.2783,-0.0003,-0.6226,0.682
0.382886,-0.3296,-0.0491,-0.6223,0.706
0.393048,-0.3293,-0.0355,-0.6756,0.752
0.402623,-0.3907,-0.0641,-0.7955,0.889
0.412678,-0.5089,0.0492,-0.8055,0.954
0.422455,-0.5865,0.0053,-0.8466,1.030
0.432261,-0.5748,0.0089,-0.8015,0.986
0.442098,-0.5719,0.0002,-0.7484,0.942
0.452759,-0.6228,-0.0230,-0.6895,0.929
0.461969,-0.5920,-0.1473,-0.6947,0.925
0.471740,-0.6453,-0.0904,-0.6910,0.950
0.481966,-0.5696,0.0201,-0.7854,0.970
0.491494,-0.4794,0.0256,-0.7294,0.873
0.501897,-0.4695,0.0973,-0.7467,0.887
0.511518,-0.4497,0.1614,-0.8077,0.938
0.520868,-0.4273,0.2012,-0.8103,0.938
0.531291,-0.3976,0.0709,-0.7447,0.847
0.541151,-0.3705,-0.1045,-0.7476,0.841
