time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002723,-0.0629,-0.2176,-0.1214,0.257
0.015750,-0.0152,-0.1568,-0.0289,0.160
0.022795,0.0233,-0.0102,0.0861,0.090
0.032000,0.0759,0.0542,0.1606,0.186
0.042667,0.0861,0.0283,0.1411,0.168
0.052431,0.0618,-0.0370,0.1307,0.149
0.062272,0.0483,-0.0849,0.1135,0.150
0.071725,0.0243,-0.0735,0.0972,0.124
0.082118,0.0301,-0.0580,0.0961,0.116
0.091383,-0.0005,-0.0923,0.1328,0.162
0.100977,-0.0340,-0.0767,0.1099,0.138
0.111838,-0.0632,-0.0849,0.1295,0.167
0.121246,-0.0975,-0.0812,0.1228,0.177
0.130770,-0.1466,-0.0894,0.0831,0.191
0.141247,-0.1633,-0.0788,0.0723,0.195
0.150269,-0.1348,-0.0376,0.0946,0.169
0.163662,-0.0836,-0.0112,0.1120,0.140
0.170133,-0.0323,0.0243,0.1031,0.111
0.179832,0.0565,0.0759,0.0943,0.134
0.190811,0.0270,0.0799,0.0713,0.110
0.200354,0.0204,0.0275,0.0881,0.095
0.209615,0.0083,0.0114,0.0129,0.019
0.220345,0.0071,0.0591,-0.0158,0.062
0.229048,0.0425,0.0684,0.0169,0.082
0.239370,0.0765,0.0661,0.0181,0.103
0.249060,0.0972,0.0898,0.0003,0.132
0.259186,0.0840,0.0402,-0.0314,0.098
0.269094,0.0565,0.0386,-0.0836,0.108
0.278927,0.0575,-0.0055,-0.1067,0.121
0.289199,0.0229,-0.0298,-0.1036,0.110
0.298266,0.0173,-0.0374,-0.1100,0.117
0.309186,-0.0140,-0.0354,-0.1278,0.133
0.317898,-0.0374,-0.0384,-0.1566,0.166
0.327990,-0.0528,-0.0461,-0.1470,0.163
0.338635,-0.0723,-0.0751,-0.1254,0.163
0.348091,-0.1098,-0.0566,-0.1157,0.169
0.357207,-0.1230,-0.0619,-0.1321,0.191
0.367747,-0.1383,-0.0272,-0.1246,0.188
0.378542,-0.1159,-0.0308,-0.1287,0.176
0.388141,-0.0963,-0.0296,-0.1609,0.190
0.397082,-0.0962,0.0257,-0.1735,0.200
0.406860,-0.1177,0.0848,-0.1364,0.199
0.417473,-0.0710,0.0816,-0.1116,0.155
0.426674,-0.0748,0.1375,-0.0875,0.179
0.437343,-0.0342,0.1290,-0.0663,0.149
0.446756,-0.0087,0.1208,-0.0904,0.151
0.457173,0.0300,0.1011,-0.0580,0.120
0.467097,0.0603,0.1006,-0.0781,0.141
0.479203,0.0801,0.0647,-0.1022,0.145
0.486850,0.1178,0.0434,-0.1275,0.179
0.496845,0.1661,0.0341,-0.0790,0.187
0.505569,0.1728,0.0061,-0.0688,0.186
0.515499,0.2142,-0.0097,-0.0423,0.219
0.526042,0.2450,-0.0134,-0.0373,0.248
0.535902,0.2139,-0.0336,-0.0701,0.228
0.545527,0.2116,-0.0556,-0.0696,0.230
0.555135,0.1977,-0.0185,-0.1138,0.229
0.564766,0.1631,-0.0150,-0.1382,0.214
0.584056,0.1202,-0.0210,-0.1600,0.201
0.584632,0.1042,-0.0387,-0.1742,0.207
0.595919,0.0491,-0.0421,-0.1833,0.194
0.604290,0.0118,-0.0008,-0.1874,0.188
0.614235,-0.0075,0.0302,-0.1861,0.189
0.623810,-0.0493,0.0321,-0.1558,0.167
0.634098,-0.0660,0.0315,-0.1631,0.179
0.643814,-0.1215,0.0377,-0.1840,0.224
0.653405,-0.1632,0.0364,-0.1379,0.217
0.663713,-0.2056,0.0278,-0.1270,0.243
0.673291,-0.2251,0.0097,-0.1156,0.253
0.683440,-0.2315,-0.0177,-0.0991,0.252
0.693175,-0.2274,-0.0120,-0.1009,0.249
0.703019,-0.2176,0.0098,-0.0808,0.232
0.713013,-0.2257,0.0099,-0.0743,0.238
0.723067,-0.1973,0.0190,-0.0600,0.207
0.732673,-0.1777,0.0162,-0.0504,0.185
0.743537,-0.1670,0.0112,-0.0435,0.173
0.752666,-0.1347,-0.0008,-0.0625,0.148
0.762513,-0.1234,0.0366,-0.0782,0.151
0.771998,-0.0837,0.0570,-0.0841,0.132
0.784408,-0.0563,0.0772,-0.0830,0.127
0.792187,-0.0412,0.0783,-0.0941,0.129
0.801644,-0.0593,0.0702,-0.0981,0.134
0.811894,-0.0706,0.0811,-0.0691,0.128
0.821397,-0.0892,0.0496,-0.0409,0.110
0.831215,-0.0639,0.0660,0.0356,0.099
0.843542,-0.0970,0.0873,0.0765,0.151
0.851041,-0.1095,0.0780,0.1251,0.184
0.861097,-0.0783,0.0882,0.1692,0.206
0.871014,-0.0868,0.1175,0.1685,0.223
0.881163,-0.1156,0.1280,0.1922,0.258
0.890584,-0.1081,0.1389,0.1714,0.246
0.900766,-0.1146,0.1737,0.1796,0.275
0.910342,-0.0878,0.2038,0.1716,0.280
0.920239,-0.0798,0.2482,0.1546,0.303
0.930639,-0.0550,0.2640,0.1410,0.304
0.939857,-0.0587,0.2542,0.1566,0.304
0.949781,-0.0457,0.2192,0.1258,0.257
0.960140,-0.0633,0.1426,0.0826,0.177
0.969440,-0.0494,0.0984,0.0531,0.122
0.981432,-0.0375,0.0694,0.0086,0.079
0.989508,-0.0485,0.0531,0.0062,0.072
0.999382,-0.0650,0.0701,0.0270,0.099
1.009547,-0.0110,0.0468,0.0334,0.059
1.019318,0.0494,0.0050,0.0378,0.062
1.028833,0.0694,-0.0079,0.0142,0.071
1.038727,0.0757,-0.0441,-0.0138,0.089
1.048680,0.0520,-0.0844,-0.0367,0.106
1.059414,0.0482,-0.1263,-0.0382,0.141
1.068193,0.0144,-0.1299,-0.0890,0.158
1.082046,0.0426,-0.1380,-0.0756,0.163
1.090349,0.0281,-0.0918,-0.1050,0.142
1.098003,0.0231,-0.0178,-0.1300,0.133
