time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002110,-0.2085,0.1776,-0.2395,0.364
0.010854,-0.1732,0.2219,-0.1897,0.339
0.030975,-0.0682,0.3484,-0.1455,0.384
0.051131,-0.0737,0.3844,-0.1837,0.432
0.071327,-0.1062,0.2923,-0.2071,0.374
0.091148,-0.1397,0.2256,-0.2153,0.342
0.111113,-0.0899,0.2727,-0.1933,0.346
0.131782,-0.0297,0.3972,-0.1530,0.427
0.152262,-0.0502,0.3109,-0.1896,0.368
0.171527,-0.0721,0.2276,-0.2164,0.322
0.191713,-0.0775,0.1833,-0.2068,0.287
0.211640,-0.1205,0.1285,-0.2007,0.267
0.231931,-0.1952,0.1401,-0.1828,0.302
0.251756,-0.0791,0.5440,-0.0278,0.550
0.272436,-0.0567,0.3062,-0.1542,0.348
0.292734,-0.1055,0.3977,-0.0609,0.416
0.311986,-0.0977,0.2888,-0.1179,0.327
0.332264,-0.1951,0.2120,-0.1784,0.339
0.352951,-0.1358,0.1736,-0.1428,0.263
0.372622,-0.0250,0.1736,-0.1329,0.220
0.392418,0.0133,0.2344,-0.1728,0.292
0.413442,0.0367,0.2341,-0.2293,0.330
0.432977,-0.0105,0.1709,-0.2659,0.316
0.452838,-0.0159,0.0601,-0.3407,0.346
0.472907,-0.0424,-0.0852,-0.2871,0.303
0.493139,-0.0043,-0.1197,-0.2117,0.243
0.513550,-0.0485,-0.1505,-0.0674,0.172
0.532972,-0.0080,-0.0349,0.0531,0.064
0.553395,-0.0546,0.1920,0.1270,0.237
0.573381,-0.1134,0.1933,0.0278,0.226
0.593258,-0.1893,0.1684,0.0127,0.254
0.614088,-0.3944,0.3055,0.0886,0.507
0.633505,-0.4072,0.3487,0.0648,0.540
0.654168,-0.4289,0.4899,0.0928,0.658
0.673968,-0.3269,0.4489,-0.0462,0.557
0.694052,-0.1659,0.3533,-0.2029,0.440
0.715157,-0.1010,0.3034,-0.2374,0.398
0.733868,-0.0057,0.2487,-0.2241,0.335
0.754243,0.0594,0.2118,-0.3065,0.377
0.774300,0.0916,0.1762,-0.3585,0.410
0.795296,0.1400,0.2729,-0.3237,0.446
0.815406,0.0961,0.3023,-0.2877,0.428
0.834588,-0.0175,0.4030,-0.2504,0.475
0.855837,-0.1298,0.4026,-0.2349,0.484
0.875005,-0.2451,0.3882,-0.2561,0.526
0.895355,-0.2686,0.3427,-0.2854,0.521
0.916028,-0.2663,0.4620,-0.0627,0.537
0.934984,0.0045,0.5238,-0.2480,0.580
0.955242,0.2103,-0.0232,-0.8283,0.855
0.975418,0.1488,-0.1698,-0.6914,0.727
0.996032,-0.0877,-0.0352,-0.5004,0.509
1.015618,-0.2370,0.1052,-0.3168,0.409
1.035877,-0.4747,0.1850,0.0445,0.511
1.055977,-0.5695,0.2256,0.2761,0.672
1.075684,-0.4260,0.1687,0.2062,0.502
1.095928,-0.2796,0.0845,-0.0237,0.293
1.116329,-0.0643,-0.0150,-0.0706,0.097
