time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.011403,0.0940,-0.1134,-0.1007,0.178
0.030245,0.0030,-0.1761,-0.0444,0.182
0.049990,-0.0176,-0.1359,0.0672,0.153
0.072590,0.0450,-0.0842,0.1524,0.180
0.089411,0.0769,-0.0654,0.1195,0.156
0.110076,0.0769,0.0604,0.1964,0.219
0.132525,-0.0111,0.1845,0.3176,0.368
0.149928,-0.0638,0.1244,0.3714,0.397
0.170924,0.1400,-0.0085,0.4968,0.516
0.190565,0.2690,-0.2128,0.4343,0.553
0.211423,0.2262,-0.4048,0.4104,0.619
0.230372,0.3141,-0.4946,0.5678,0.816
0.250540,0.4980,-0.3421,0.6490,0.887
0.270839,0.6041,-0.2626,0.5164,0.837
0.290584,0.6331,-0.2189,0.2960,0.732
0.310686,0.6069,-0.3847,0.1767,0.740
0.330513,0.5143,-0.3310,0.0705,0.616
0.350973,0.3889,-0.2886,-0.0109,0.484
0.372489,0.3923,-0.2141,0.1506,0.472
0.390632,0.5349,-0.1885,0.0380,0.568
0.412208,0.8023,-0.0992,-0.3920,0.898
0.431204,1.4090,-0.3085,-0.6012,1.563
0.451259,1.7989,-0.2153,-1.0601,2.099
0.471024,1.5079,0.3130,-0.6674,1.678
0.492845,0.6762,0.7719,0.0160,1.026
0.511822,0.2061,0.9372,0.5222,1.092
0.532229,0.3378,0.3902,0.6998,0.870
0.552267,0.7174,-0.0667,0.5976,0.936
0.571620,0.9454,-0.5268,0.4982,1.191
0.592947,0.9019,-0.8941,0.4526,1.348
0.611806,0.7688,-0.9709,0.4127,1.305
0.632959,0.7460,-0.7832,0.2711,1.115
0.652155,0.8661,-0.6453,0.4347,1.164
0.672105,1.0516,-0.4703,0.5528,1.278
0.692148,1.1795,-0.3482,0.5493,1.347
0.712029,1.2725,-0.3144,0.5669,1.428
0.733139,1.3546,-0.3607,0.4813,1.482
0.753556,1.3954,-0.3548,0.4714,1.515
0.772901,1.2283,-0.2711,0.4539,1.337
0.792688,1.1364,-0.3587,0.3476,1.241
0.812743,1.0548,-0.3184,0.3409,1.153
0.834792,0.7444,-0.2480,0.1959,0.809
0.853009,0.3935,-0.1210,0.3386,0.533
0.873315,0.3719,0.2064,0.6561,0.782
0.893284,1.1867,1.0525,0.9797,1.864
0.913404,2.0641,2.2460,0.9583,3.197
0.933849,3.0239,2.7196,0.8775,4.161
0.953497,3.2843,2.0166,0.6835,3.914
0.973137,3.1619,1.2569,0.4167,3.428
0.993450,2.4555,1.2971,0.1205,2.780
1.013611,1.7505,2.1176,-0.0868,2.749
1.034237,0.9474,2.8111,-0.5099,3.010
1.054130,-0.1311,3.6083,-0.7903,3.696
1.073486,-1.2307,2.0830,-1.2176,2.708
1.093606,-1.8288,-0.2951,-1.0769,2.143
1.114248,-2.2712,-1.5412,-0.8219,2.865
