time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006899,-0.1261,-0.4228,0.4914,0.660
0.027448,-0.1623,-0.4932,0.6212,0.810
0.047786,-0.1397,-0.5587,0.6989,0.906
0.067769,-0.1081,-0.6851,0.8490,1.096
0.088005,-0.0823,-0.8053,1.0070,1.292
0.109951,-0.0558,-1.0104,1.1679,1.545
0.127602,0.0677,-0.8007,1.1759,1.424
0.147641,0.1795,-0.3954,0.9722,1.065
0.167653,0.3144,-0.3593,1.0144,1.121
0.188256,0.5094,-0.2120,1.1600,1.285
0.209910,0.6619,0.0436,1.2345,1.401
0.231211,0.6654,0.4338,0.8241,1.145
0.249286,0.3777,0.8221,0.0854,0.909
0.268831,0.3859,0.9194,-0.3330,1.051
0.288932,0.4828,0.6137,-1.0747,1.328
0.310683,0.7830,0.1048,-2.1927,2.331
0.328513,1.2499,-0.3361,-2.9550,3.226
0.348980,1.6573,-0.4891,-2.3478,2.915
0.368488,1.3029,0.0555,-1.2560,1.811
0.388971,0.5427,0.9249,-0.4727,1.172
0.408757,-0.0114,1.2870,-0.1155,1.292
0.429762,-0.3607,0.9625,0.1105,1.034
0.449414,-0.0910,0.4232,0.1147,0.448
0.470763,-0.0492,-0.1616,0.2308,0.286
0.490439,0.0876,-0.8374,0.2663,0.883
0.512594,0.2683,-1.2094,-0.1297,1.246
0.529014,0.5188,-1.4615,-0.1716,1.560
0.550318,0.7627,-1.2970,0.0994,1.508
0.569743,0.8670,-1.0208,0.3883,1.394
0.590006,1.0410,-0.8599,0.5820,1.470
0.611303,1.1357,-0.8354,0.6944,1.572
0.630335,1.2008,-0.7344,0.8710,1.655
0.651481,1.3794,-0.7342,1.1779,1.957
0.670107,1.2746,-0.7143,1.2747,1.939
0.690275,0.9338,-0.4821,1.0584,1.491
0.711264,0.6804,-0.1363,0.9491,1.176
0.730267,0.6607,0.2174,0.7549,1.026
0.751111,0.7453,0.3850,0.2883,0.887
0.771388,0.7125,0.6849,0.2373,1.016
0.790748,0.4938,0.4420,-0.6410,0.922
0.811040,-0.2872,0.2486,-1.9425,1.979
0.830687,-1.5514,-0.5283,-0.8974,1.868
0.850903,-1.4432,0.5686,-0.8714,1.779
0.870961,0.1256,4.7116,-1.9943,5.118
0.891104,-0.2759,6.5638,-2.3864,6.990
0.911302,-1.2222,3.9388,0.3400,4.138
0.932229,-2.2292,1.9754,1.6506,3.405
0.952038,-3.1059,1.3118,1.4235,3.660
0.971567,-3.2205,0.5731,-0.5436,3.316
0.992903,-1.4287,0.0710,-0.3452,1.472
1.011976,-0.6570,0.4963,0.0841,0.828
1.033681,-0.1973,-0.1950,-0.3341,0.434
