time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001840,-0.0863,0.0216,-0.1673,0.189
0.020434,-0.0623,0.1038,-0.1805,0.217
0.040758,-0.0270,0.1598,-0.2733,0.318
0.060787,-0.0194,0.1020,-0.2603,0.280
0.081254,-0.0645,0.0437,-0.2715,0.282
0.102081,-0.0196,0.0154,-0.2443,0.246
0.121937,0.0711,0.0177,-0.2724,0.282
0.144459,0.0984,0.0085,-0.2933,0.309
0.164255,0.1251,0.0408,-0.3093,0.336
0.181345,0.1604,0.0350,-0.3318,0.370
0.202622,0.1797,0.0684,-0.3612,0.409
0.221706,0.1658,0.1036,-0.3956,0.441
0.242118,0.1273,0.0407,-0.3542,0.379
0.262289,0.1292,-0.0810,-0.2704,0.310
0.282586,0.2309,-0.2123,-0.2707,0.414
0.304094,0.4223,-0.2090,-0.3436,0.583
0.322609,0.6701,-0.0979,-0.4328,0.804
0.343138,0.7793,-0.0652,-0.3378,0.852
0.362329,0.6901,-0.1292,-0.2645,0.750
0.382364,0.6344,-0.1965,-0.2005,0.694
0.403843,0.6691,-0.1521,-0.2990,0.748
0.424047,0.6545,0.0386,-0.1979,0.685
0.442754,0.6509,0.2547,-0.1434,0.713
0.462823,0.4905,0.4163,-0.1852,0.669
0.482849,0.5679,0.3950,-0.1659,0.711
0.502542,0.7613,0.4156,-0.2714,0.909
0.523189,0.8639,0.3733,-0.5305,1.080
0.543118,0.7736,0.0490,-0.7531,1.081
0.562926,0.5506,-0.5733,-0.8241,1.145
0.583171,0.4411,-1.3133,-0.6840,1.545
0.604109,0.1059,-1.4773,-0.2511,1.502
0.625600,-0.3598,-0.7477,-0.1700,0.847
0.643201,-0.6098,1.1110,-0.3569,1.317
0.663423,-0.3640,3.4404,-0.0008,3.460
0.685599,0.5126,3.9301,1.1737,4.134
0.706359,0.7005,2.0630,2.2559,3.136
0.723775,0.2519,0.4794,1.5743,1.665
0.743869,0.6352,-0.0116,0.9567,1.148
0.764341,1.1761,-0.1997,0.2763,1.225
0.783995,1.7075,0.0260,-0.1754,1.717
0.805235,2.0320,0.0215,-0.1197,2.036
0.824042,1.8436,-0.3608,0.1431,1.884
0.845103,1.5011,-1.0365,0.1026,1.827
0.863987,1.1260,-1.4015,0.0915,1.800
